"miRNA","Targets"
"hsa-miR-361-5p","PDZRN3,TPD52L1,PJA2,SLC25A4,ENTPD1,ACAT1,HSPA12A,DYSF,SETBP1,SETD3,EVC,PDLIM3,SEMA3A,SETD7,ATP2B4,NRP2,CALM1,HPSE2,PCGF5,JAZF1,UBE2Q2,KLHL5,ACTN1,ZFPM2,AKT3,NFIC,FAM190B,PITPNM2,KCNIP3,MFN2,SLC25A12,DUSP3,CHRM2,KATNAL1,ALDH2,MBNL1,CORO1C"
"hsa-miR-361-3p","DYNC1LI2"
"hsa-miR-15b-3p","TNFSF12,LRRK2,C10orf72,CRTAP,AXL"
"hsa-miR-182-5p","CSGALNACT1,ACOX2,CD99L2,ARHGAP24,LRRK2,ROR2,ZEB2,ALDH2"
"hsa-miR-484","EVC,LRRK2,MID2,MEF2A,CAPZA2,HERC1,TOR1AIP1"
"hsa-miR-22-3p","MEIS1"
"hsa-miR-16-5p","EVC,ZNF154,PPP3CB"
"hsa-miR-23a-3p","RRAGD,STAT5B"
"hsa-miR-576-5p","MID2,ZBTB4"
"hsa-let-7a-3p","NPR2,TSPAN18,CELF2,TNFSF12,GPRASP1,LYRM7,EPHA3,PABPC5,CCDC69,ABI3BP,ARHGAP10,ST8SIA1,C10orf72,CRTAP,TRPC1,RNF180,RAI2,C9orf5,C3orf18,SLIT2,ZFP2,GPR124"
"hsa-miR-1976","FAM168B,AHNAK,ACOX2,PJA2,DNAJC18,F8,NFIX,ARHGAP24,TCEAL2,SETBP1,EVC,THRA,RNF38,ATL1,CRTC3,SETD7,GPRASP2,PLCL1,ZHX3,NFIA,DDR2,PBX3,KLHL13,ZFHX4,MEIS1,PBX1,RNF180,NFIC,KIAA1614,SLC24A3,EPDR1,HERC1,TOR1AIP1,SERINC1,NEK9,ZEB2,GPR124"
"hsa-miR-15b-5p","EVC,SETD7,ARHGAP1,AXL,SERINC1"
"hsa-miR-34a-5p","NFIX,ARHGAP24,SETBP1,ZHX3,NFIA,NFIC,ERC1"
"hsa-miR-26b-3p","SOX10,RRAGD,ARHGAP24"
"hsa-miR-21-5p","RASGEF1C,SOX10,NOVA1,PCSK2,GRIK3,AR,EID1,ARHGAP6,C1QTNF7,CNTN2,TACC2,LYRM7,FAM149A,GPRASP2,FOXP1,TNNI3K,MID2,SYNE1,LRRTM1,RBM24,NR3C2,FAM54B,FOXF1,MEIS1,RNF180,MYOT,ZNF280D,SMAD9,PLP1,RAI2,NRXN1,CBX7,HERC1,ZFP2,MOAP1,LOC643763,MYST4,SERINC1,ZBTB4,PRIMA1,C20orf194"
"hsa-miR-92a-3p","SOX10,NOVA1,AQP1,EVC,LRRK2,MID2,ARHGAP1,C10orf72,SLC24A3,ALDH2"
