"miRNA","Targets"
"hsa-miR-1287","FBN3,TBC1D14,CR1L,SYT17,TMEM38A,EVI5L,CKMT1B,SETMAR,ASTN2,DHCR7,GPSM2,ANO4,FAM174A,ANKRD29,ZDHHC23,WBSCR17,FBXL17,SCAMP1,LIN7A,CLIP1,DSG2"
"hsa-miR-181c-5p","WBSCR17"
"hsa-miR-181a-3p","TBC1D14,FAM174A,WBSCR17,KLK3,PPP1R3C"
"hsa-miR-222-3p","UMOD,CYR61,CCDC158,MGC27382,JAM2,AQP2,PITX2,IGFBP4,IER5L,GAL3ST3,TCF21,SPNS2,FLJ32063,EFHB,RERGL,TSG1,C10orf107,GSG1,PTGER1,ATOH8,AKR1C3,DMGDH,AFAP1L2,CHST9,CADM1,GALNT6,FGFR4,RSPH1,FGFR3,RGS9,GGTLC1,MNS1,GPR83,TMEM26,FAM180A,LOC284578,ASRGL1,PLCB1,GPM6A,SPEF1,AQP1,ITGA8,C6orf52,FOXQ1,PKNOX2,TNNI1,FAM183A,TAGLN3,THY1,SLC5A8,PTGIS,LOC400927,REPS2,CLDN19,SPNS3,LOC134466,IGSF10,SEC14L4,OLAH,ELFN1,HUNK,GATA5,WDR65,DNAJC16,TAL2,BAI3,PROM1,KCTD16,GPER,DUSP9,RSPH4A,SEMA4A,CNP,CXCL14,PHACTR1,EHD3,IRX3,CP,EMID1,KLHL14,DNAJC22,PAPPA,C9orf50,DCDC1,GP2,CDO1,TSPAN8,WNK4,AVPR1B,ENKUR,SHMT1,CMAH,RALYL,MTMR11,CLDN10,GCM1,DOC2B,SIM2,SCNN1G,ERRFI1,KCNK5,GLB1L,ENOX1,UGT3A1,C5orf38,SEMA3G,KCNJ8,LOC284276,C6orf176,GUCA1C,HSPA2,IGFBP2,FBLN2,MAPK15,CABP1,F11,CACNA1E,SLC45A3,MYOZ1,A4GNT,RAB7L1,ST6GALNAC5,NLGN3,AADACL4,ARHGEF33,AIF1L,CAPN6,SSTR2,HYDIN,TLR5,CELSR2,PPL,SYTL4,C21orf62,LRRC48,GRIK2,?(15),MGAT3,C1orf77,C1orf106,FBLN5,C1QTNF3,LOC153328,C6orf122,TSPAN2,ISM1,IRX1,PRUNE2,NKD1,SERPINA1,TEKT2,CD109,MGAT4C,TRIL,BNIPL,LRRC67,GPM6B,DNAH7,AACSL,SUSD4,SOX30,CAPSL,RGL1,WDR78,LOC339535,USP44,SARDH,LOC723809,DTX4,LEPR,C16orf73,LEKR1,C2orf73,NTRK2,MSTN,?(19),SOSTDC1,PPP1R1A,BHMT2,H3F3B,C2orf62,PDZK1,UNCX,ATP12A,FMO2,IRX2,GABRA2,DOCK11,C6orf146,FAM81B,SLC44A4,LMO1,FOXA3,FIGNL2,FER1L5,SLC12A1,TMEM178,C14orf73,ID1,SAMD11,RASAL1,FOXC1,TYRP1,KBTBD11,CDKN1C,NPY1R,SLC38A5,H3F3C,MUC15,EDAR,CPE,LOC158376,ALAD,MRGPRF,ALDH8A1,GABRB2,EMCN,HELT,RASL11B,CHRD,KRTAP17-1,C10orf114,LGI2,EFCAB1,C1orf186,SALL2,C2orf77,GABRB1,CLDN16,AMBP,CHDH,NPY5R,SEMG2,B3GALT2,LOC441177,AMPH,TMEM176A,ZBBX,DCN,SPATA4,CFI,FOXJ1,DAB1,FAM26E,TCEAL7,IRX5,C6orf208,LOC283314,PRKCQ,GPRIN2,NAT2,SERP2,TACSTD2,NEK5,C10orf79,C16orf11,CRABP2,C20orf118,IQCA1,NELL1,CNTN5,NCRNA00092,TET1,LUM,DACT2,WNT10A,WIT1,NRGN"
"hsa-miR-455-3p","FBN3,NAP1L4,TBC1D14,CR1L,SYT17,TMEM38A,EVI5L,CKMT1B,SETMAR,DHCR7,ANO4,FAM174A,ANKRD29,DTNA,ZDHHC23,WBSCR17,KLK3,RHCG,LIN7A,CLIP1,DSG2"
"hsa-miR-221-3p","CYR61,CCDC158,AQP2,IGFBP4,TCF21,SPNS2,FLJ32063,EFHB,TSG1,C10orf107,PTGER1,ATOH8,AFAP1L2,CHST9,CADM1,GALNT6,FGFR4,RSPH1,FGFR3,RGS9,MNS1,TMEM26,LOC284578,ASRGL1,PLCB1,GPM6A,SPEF1,AQP1,ITGA8,C6orf52,PKNOX2,FAM183A,THY1,LOC400927,REPS2,CLDN19,LOC134466,OLAH,ELFN1,HUNK,WDR65,TAL2,PROM1,KCTD16,DUSP9,RSPH4A,CNP,PHACTR1,IRX3,KLHL14,DNAJC22,PAPPA,C9orf50,DCDC1,GP2,CDO1,TSPAN8,WNK4,AVPR1B,ENKUR,SHMT1,CMAH,RALYL,MTMR11,CLDN10,DOC2B,SCNN1G,UGT3A1,C5orf38,SEMA3G,IGFBP2,MAPK15,F11,SLC45A3,MYOZ1,RAB7L1,ARHGEF33,AIF1L,SSTR2,HYDIN,TLR5,CELSR2,SYTL4,C21orf62,LRRC48,C1orf77,C1orf106,FBLN5,LOC153328,C6orf122,IRX1,PRUNE2,NKD1,SERPINA1,TEKT2,CD109,MGAT4C,TRIL,LRRC67,GPM6B,DNAH7,AACSL,SUSD4,CAPSL,RGL1,WDR78,LOC339535,USP44,LOC723809,DTX4,LEPR,C2orf73,NTRK2,?(19),SOSTDC1,C2orf62,FMO2,IRX2,GABRA2,DOCK11,C6orf146,FAM81B,SLC44A4,FIGNL2,SLC12A1,TMEM178,ID1,SAMD11,RASAL1,FOXC1,KBTBD11,NPY1R,SLC38A5,MUC15,EDAR,ALAD,EMCN,RASL11B,CHRD,C10orf114,C1orf186,SALL2,C2orf77,GABRB1,CHDH,NPY5R,LOC441177,DCN,SPATA4,CFI,FOXJ1,DAB1,TCEAL7,IRX5,LOC283314,PRKCQ,GPRIN2,NAT2,SERP2,NEK5,C10orf79,C20orf118,IQCA1,CNTN5,NCRNA00092,DACT2,NRGN"
"hsa-miR-96-5p","SPNS2,EFHB,C10orf107,CADM1,RSPH1,FGFR3,MNS1,ASRGL1,PLCB1,SPEF1,AQP1,REPS2,HUNK,WDR65,RSPH4A,KLHL14,CDO1,WNK4,MTMR11,CLDN10,IGFBP2,F11,RAB7L1,ARHGEF33,AIF1L,HYDIN,CELSR2,SYTL4,LRRC48,PRUNE2,TEKT2,DNAH7,AACSL,CAPSL,WDR78,LOC339535,LOC723809,C2orf73,?(19),SOSTDC1,C2orf62,FMO2,FIGNL2,SAMD11,FOXC1,KBTBD11,EMCN,C10orf114,SALL2,C2orf77,NPY5R,FOXJ1,GPRIN2,SERP2,C10orf79"
"hsa-miR-199b-3p","FBN3,NAP1L4,TBC1D14,CR1L,SYT17,TMEM38A,EVI5L,CKMT1B,SETMAR,DHCR7,FAM174A,ANKRD29,ZDHHC23,WBSCR17,KLK3,LIN7A,CLIP1,DSG2"
"hsa-miR-181b-5p","TRIM50"
"hsa-miR-744-5p","SYT17,ASTN2,ANO4,FAM174A"
