"miRNA","Targets"
"hsa-miR-532-3p","DDB2"
"hsa-miR-500a-3p","EHD2"
"hsa-miR-200b-3p","EHD2,NETO2"
"hsa-miR-210","SFRP1,EFHD1"
"hsa-miR-25-3p","SLC15A2,LRRC2,GGT6,TFAP2B,CLDN10,PLCL1,FAM190A,COBLL1,EPCAM,FREM1,ESRRG,PROM2,RPS6KA6,EFHD1,ATP1A1"
"hsa-miR-30c-2-3p","APOBEC3C,CARD16,APOBEC3G,FCER1G,GBP2,CD300C,CCDC109B,LPXN,ARRB2"
"hsa-miR-10b-3p","RGS10,NCF1,TYROBP,FCER1G,TREM2,CSF3R,PTPN6,TNFAIP8L2,CTSZ,SPI1,CCDC109B,SLC15A3,STAC3,LPXN,MYO1F,OSCAR,DTX2,PIK3R5,ARRB2"
"hsa-miR-28-3p","KNG1,MARVELD2,EPN3,C6orf155,CLUL1,C7orf41,FLJ45983,SLC15A2,LRRC2,AKAP3,GSTM3,HRG,TMEM45B,PRDM16,FAM108C1,SLC9A4,GGT6,PEG3,TFAP2B,GRHL2,CLDN10,PLCL1,KCNJ10,NOS1AP,FAM81A,FAM190A,AIF1L,RNF43,RAB25,MYO3B,COBLL1,HOXB6,SEMA6D,SIM1,SUSD4,EPCAM,MPP7,GATA3,FREM1,SCN2A,AGBL4,SOSTDC1,ESRRG,GABRA2,PROM2,RPS6KA6,CASR,EFHD1,MAL,SERPINA5,SLC20A2,PCDH9,PDE1A,C16orf11,TMEM72,ATP1A1,KCNJ1"
"hsa-miR-330-5p","GGT6,EFHD1"
"hsa-miR-532-5p","OLFML2A,EHD2"
"hsa-miR-193a-5p","MAPK4,SFRP1,WDR72,SUCLG1,LRRC2,HADH,AGPAT9,GGT6,ERBB4,RALYL,PLCL1,KCNJ10,TBC1D13,FAM190A,PAQR7,PECI,CA10,ACADSB,C14orf37,NRK,LPPR1,FREM1,ACPP,AGBL4,AGPHD1,ESRRG,SLC4A9,EFHD1,PPARA,SERPINA5,KCNE1"
"hsa-let-7i-5p","TBC1D13,AGPHD1"
"hsa-miR-629-5p","SFRP1,AGBL4,EFHD1"
"hsa-miR-10b-5p","HLA-H,DPP9,RGS10,NCF1,PSMB10,TYROBP,WAS,FCER1G,TREM2,CSF3R,C1orf162,TNFAIP8L2,CTSZ,SPI1,CCDC109B,TAPBP,SLC15A3,LST1,STAC3,HLA-A,MYO1F,CCM2,OSCAR,DTX2,PIK3R5,ARRB2"
"hsa-miR-21-5p","KNG1,MARVELD2,EPN3,C6orf155,GPC3,CLUL1,TCF21,PTPN4,SFRP1,C7orf41,TMEM61,SLC15A2,LRRC2,AKAP3,HRG,PRDM16,AGPAT9,NHLRC4,SLC9A4,DUSP9,TGFBR3,GGT6,FAM171A1,CYFIP2,PEG3,WNK4,TFAP2B,ERBB4,GRHL2,RALYL,CLDN10,C21orf34,PLCL1,CAB39L,KCNJ10,ZHX3,NOS1AP,TBC1D13,F11,FAM190A,AIF1L,ACOT12,C12orf34,RNF43,CA10,ACADSB,C14orf37,NRK,MYO3B,COBLL1,SEMA6D,FAM184A,CNTN1,SIM1,EPCAM,MPP7,LPPR1,GATA3,FREM1,KCTD8,CCDC160,AGBL4,AGPHD1,SOSTDC1,ESRRG,HS6ST2,IRX2,PROM2,FECH,RPS6KA6,CASR,EFHD1,CACNA2D2,PPARA,MAL,SERPINA5,SLC20A2,PCDH9,C16orf11,TMEM72,ATP1A1,KCNJ1"
"hsa-let-7e-3p","DPP9"
"hsa-miR-362-5p","DDB2"
"hsa-miR-374a-3p","GGT6,GRHL2,NOS1AP,COBLL1,EPCAM,GATA3,ESRRG,PROM2,EFHD1,ATP1A1"
"hsa-miR-106b-3p","KNG1,MARVELD2,C6orf155,CLUL1,SFRP1,C7orf41,SLC15A2,LRRC2,AKAP3,HRG,GGT6,FAM171A1,TFAP2B,ERBB4,GRHL2,RALYL,CLDN10,PLCL1,KCNJ10,NOS1AP,TBC1D13,F11,FAM190A,AIF1L,PAQR7,ACOT12,RNF43,CA10,RAB25,NRK,COBLL1,FAM184A,EPCAM,MPP7,LPPR1,GATA3,FREM1,SCN2A,KCTD8,AGBL4,AGPHD1,ESRRG,HS6ST2,PROM2,FECH,RPS6KA6,CASR,EFHD1,PNP,MAL,SERPINA5,PCDH9,C16orf11,TMEM72,ATP1A1,KCNJ1"
"hsa-miR-30a-3p","CCM2"
"hsa-miR-15a-5p","GGT6,NOS1AP,FAM190A,EPCAM,ESRRG,PROM2,RPS6KA6,EFHD1,ATP1A1"
