"miRNA","Targets"
"hsa-miR-708-3p","ARHGAP18,DPEP2,ARRB1"
"hsa-miR-146b-3p","CDC45,BIRC5,SSRP1,ESPL1,KIF15,CEP55,KIF23,TOP2A,MCM4,CDCA8,FOXM1,SKA3,WDHD1,CDCA2,BUB1B,FLAD1,B3GALNT2,CDC6,ORC1L,CHAF1A,SET,CCNB2,SPAG5,STIL,PLK1,ERCC6L,KIF4A,EPR1,RACGAP1,CCT7,CENPO,FANCI,DLGAP5,UBE2T,BUB1,ECT2,SKA1,PLK4,CKS1B,C6orf167,CENPA,C17orf53,RAD51,TIMELESS,NCAPG2,MKI67,KIF11,PRC1,ARHGAP11A,C12orf48,HJURP"
"hsa-miR-181a-5p","HPRT1,GOT2,VSNL1,PLK1,SERPINB5,RNF187"
"hsa-miR-101-3p","CDC45,C15orf42,AURKA,PKMYT1,BIRC5,ESPL1,KIF15,CEP55,AK3L1,HPRT1,KIF23,MCM4,CDCA8,FOXM1,ARHGAP11B,SKA3,WDHD1,FAM83H,SHMT2,BUB1B,FLAD1,B3GALNT2,CDC6,GGCT,CHAF1A,CCNB2,DGKA,PLK1,ERCC6L,KIF4A,EPR1,RACGAP1,C21orf45,NFKBIL2,CCNF,CCT7,CCNB1,C16orf59,ORC6L,KIF20A,TROAP,HELLS,GTSE1,CENPO,FANCI,DLGAP5,CDH24,CHTF18,UBE2T,RCC1,CDT1,BUB1,SKA1,PLK4,CKS1B,RNF187,PYCR1,CENPA,RFC5,C17orf53,RAD51,TIMELESS,C14orf33,NCAPG2,MKI67,KIF11,PRC1,ARHGAP11A,HJURP"
"hsa-miR-26a-5p","KIF23,STON2,FOXM1,WDHD1,GAN,FAM83H,B3GALNT2,CDC6,GOT2,GPC1,PLK1,ERCC6L,EPR1,CCNB1,TPI1P2,KIF14,BUB1,SKA1,PLK4,RNF187,CENPA,SCRIB,C14orf33,NCAPG2,XRCC2"
"hsa-miR-22-3p","CDCA7,UNG"
"hsa-miR-140-3p","CDC45,AURKA,PKMYT1,BIRC5,SSRP1,ESPL1,DKC1,KIF15,SPC25,CEP55,KIF23,TOP2A,MCM4,CDCA8,SLC2A1,FOXM1,ARHGAP11B,SKA3,WDHD1,CDCA2,SHMT2,BUB1B,FLAD1,CDC6,ORC1L,TCP1,CDC25C,CCNB2,STIL,FGF11,PLK1,KDM5B,KIF4A,RAD54L,EPR1,RACGAP1,CCNF,CCT7,KIF2C,CCNB1,NCAPD2,KIF20A,TROAP,GTSE1,CENPO,FANCI,DLGAP5,AURKB,UBE2T,RCC1,TMEM132A,CHEK1,CDT1,BUB1,COQ3,SKA1,PLK4,CKS1B,PYCR1,C6orf167,CENPA,C17orf53,RAD51,TIMELESS,MKI67,NCAPH,KIF11,PRC1,ARHGAP11A,HJURP"
"hsa-miR-29a-3p","CDC45,MTMR1,BIRC5,ESPL1,KIF15,MCM8,WDR72,KIF23,TOP2A,CDCA8,FOXM1,ARHGAP11B,SKA3,BUB1B,B3GALNT2,CDC6,E2F2,CCNB2,SPAG5,STIL,PLK1,ERCC6L,KIF4A,CENPF,RAD54L,EPR1,CCNF,NCAPD2,C16orf59,SPAST,BRIP1,HELLS,CENPO,FANCI,EXO1,CDH24,ZWILCH,ASPM,SMO,BUB1,SKA1,C6orf167,CENPA,C1orf112,TMEM194A,RAD51,TIMELESS,NCAPG2,POLQ,NCAPH,XRCC2,KIF11,CENPE,ATAD5,PRC1,C12orf48"
"hsa-miR-497-5p","CDC45,AURKA,BIRC5,KIF15,KIF23,ARHGAP11B,SKA3,WDHD1,BUB1B,FLAD1,CDC6,NUF2,CCNB2,STIL,PLK1,ERCC6L,KIF4A,EPR1,RACGAP1,CCT7,CCNB1,CENPO,FANCI,UBE2T,CHEK1,BUB1,CKS1B,C6orf167,CENPA,RAD51,POLQ,NCAPH,ARHGAP11A,C12orf48,HJURP"
"hsa-miR-143-3p","CDC45,KNTC1,SKA3,NUF2,CDC25C,CCNB2,STIL,EPR1,NFKBIL2,CCNB1,C16orf59,ORC6L,TROAP,HELLS,NEK2,UBE2T,CDT1,SKA1,CENPA,C1orf112,RAD51,UNG,KIF11,C12orf48"
