"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,22,1,0
"pos",1,1,1,1,1,"svm",1,1,1,30,2,1
"pos",1,1,1,1,1,"svm",1,1,1,30,2,2
"pos",1,1,1,1,1,"svm",1,1,1,30,2,3
"pos",1,1,1,1,1,"svm",1,1,1,30,2,4
"pos",1,1,1,1,1,"svm",1,1,1,30,2,5
"pos",1,1,1,1,1,"svm",1,1,1,30,2,6
"pos",1,1,1,1,1,"svm",1,1,1,30,2,7
"pos",1,1,1,1,1,"svm",1,1,1,30,2,8
"pos",1,1,1,1,1,"svm",1,1,1,30,2,9
"pos",1,1,1,1,1,"svm",1,1,1,25,1,0
"pos",1,1,1,1,1,"svm",1,1,1,52,2,1
"pos",1,1,1,1,1,"svm",1,1,1,80,3,2
"pos",1,1,1,1,1,"svm",1,1,1,92,4,3
"pos",1,1,1,1,1,"svm",1,1,1,94,5,4
"pos",1,1,1,1,1,"svm",1,1,1,108,6,5
"pos",1,1,1,1,1,"svm",1,1,1,130,7,6
"pos",1,1,1,1,1,"svm",1,1,1,133,8,7
"pos",1,1,1,1,1,"svm",1,1,1,146,9,8
"pos",1,1,1,1,1,"svm",1,1,1,158,10,9
"pos",1,1,1,1,1,"svm",1,1,1,55,1,0
"pos",1,1,1,1,1,"svm",1,1,1,68,2,1
"pos",1,1,1,1,1,"svm",1,1,1,97,3,2
"pos",1,1,1,1,1,"svm",1,1,1,113,4,3
"pos",1,1,1,1,1,"svm",1,1,1,115,5,4
"pos",1,1,1,1,1,"svm",1,1,1,120,6,5
"pos",1,1,1,1,1,"svm",1,1,1,123,7,6
"pos",1,1,1,1,1,"svm",1,1,1,126,8,7
"pos",1,1,1,1,1,"svm",1,1,1,128,9,8
"pos",1,1,1,1,1,"svm",1,1,1,130,10,9
"pos",1,1,1,1,1,"svm",1,1,1,28,1,0
"pos",1,1,1,1,1,"svm",1,1,1,74,2,1
"pos",1,1,1,1,1,"svm",1,1,1,78,3,2
"pos",1,1,1,1,1,"svm",1,1,1,90,4,3
"pos",1,1,1,1,1,"svm",1,1,1,103,5,4
"pos",1,1,1,1,1,"svm",1,1,1,106,6,5
"pos",1,1,1,1,1,"svm",1,1,1,109,7,6
"pos",1,1,1,1,1,"svm",1,1,1,111,8,7
"pos",1,1,1,1,1,"svm",1,1,1,111,8,8
"pos",1,1,1,1,1,"svm",1,1,1,111,8,9
"pos",1,1,1,1,1,"svm",1,1,1,125,1,0
"pos",1,1,1,1,1,"svm",1,1,1,185,2,1
"pos",1,1,1,1,1,"svm",1,1,1,188,3,2
"pos",1,1,1,1,1,"svm",1,1,1,191,4,3
"pos",1,1,1,1,1,"svm",1,1,1,203,5,4
"pos",1,1,1,1,1,"svm",1,1,1,227,6,5
"pos",1,1,1,1,1,"svm",1,1,1,230,7,6
"pos",1,1,1,1,1,"svm",1,1,1,233,8,7
"pos",1,1,1,1,1,"svm",1,1,1,235,9,8
"pos",1,1,1,1,1,"svm",1,1,1,237,10,9
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,65,1,0
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,89,2,1
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,106,3,2
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,110,4,3
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,112,5,4
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,112,5,5
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,112,5,6
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,112,5,7
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,112,5,8
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,1,112,5,9
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8333333333333334,0.5714285714285715,1,220,1,0
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8333333333333334,0.5714285714285715,1,264,2,1
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8333333333333334,0.5714285714285715,1,433,3,2
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8333333333333334,0.5714285714285715,1,439,4,3
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8333333333333334,0.5714285714285715,1,463,5,4
