"miRNA","gene","corr"
"hsa-miR-708-3p","Empty 0",
"hsa-miR-582-5p","Empty 0",
"hsa-miR-330-3p","Empty 0",
"hsa-miR-532-3p","Empty 0",
"hsa-miR-181c-5p","Empty 0",
"hsa-miR-20b-5p","Empty 0",
"hsa-miR-32-5p","Empty 0",
"hsa-miR-425-3p","Empty 0",
"hsa-miR-222-3p","Empty 0",
"hsa-miR-361-5p","Empty 0",
"hsa-miR-193b-5p","Empty 0",
"hsa-miR-221-3p","Empty 0",
"hsa-miR-146b-3p","Empty 0",
"hsa-miR-769-5p","Empty 0",
"hsa-miR-342-3p","Empty 0",
"hsa-miR-340-5p","Empty 0",
"hsa-miR-361-3p","HINT3",-0.6312573605031209
"hsa-miR-361-3p","PRKACB",-0.6114658144003945
"hsa-miR-361-3p","ZNF454",-0.6279529652211557
"hsa-miR-361-3p","BMPR1A",-0.6056868415484943
"hsa-miR-361-3p","PBX1",-0.617596000609609
"hsa-miR-361-3p","FAM190B",-0.6201099473228272
"hsa-miR-361-3p","RBM9",-0.6349752612800148
"hsa-miR-361-3p","PIK3R1",-0.6017090973444293
"hsa-miR-99b-5p","Empty 0",
"hsa-miR-192-5p","Empty 0",
"hsa-miR-205-5p","Empty 0",
"hsa-miR-15b-3p","Empty 0",
"hsa-miR-589-5p","Empty 0",
"hsa-miR-141-3p","Empty 0",
"hsa-miR-191-5p","Empty 0",
"hsa-miR-324-3p","Empty 0",
"hsa-miR-182-5p","Empty 0",
"hsa-miR-505-3p","Empty 0",
"hsa-miR-148a-3p","Empty 0",
"hsa-let-7c","Empty 0",
"hsa-miR-92b-3p","Empty 0",
"hsa-miR-99a-5p","Empty 0",
"hsa-miR-30e-5p","ROR2",-0.605307226444456
"hsa-miR-193a-5p","Empty 0",
"hsa-miR-181a-5p","Empty 0",
"hsa-miR-425-5p","PAM",-0.6082420994666234
"hsa-miR-106b-5p","RAI2",-0.6119610066750721
"hsa-miR-424-5p","Empty 0",
"hsa-miR-660-5p","Empty 0",
"hsa-miR-106a-5p","Empty 0",
"hsa-miR-181a-2-3p","Empty 0",
"hsa-miR-127-5p","Empty 0",
"hsa-miR-142-5p","Empty 0",
"hsa-miR-339-5p","Empty 0",
"hsa-miR-10b-5p","Empty 0",
"hsa-let-7a-5p","Empty 0",
"hsa-miR-19b-3p","Empty 0",
"hsa-miR-484","Empty 0",
"hsa-miR-21-3p","Empty 0",
"hsa-miR-27a-3p","Empty 0",
"hsa-miR-652-3p","Empty 0",
"hsa-miR-22-3p","LRRK2",-0.6006596572485723
"hsa-miR-17-3p","Empty 0",
"hsa-miR-140-3p","Empty 0",
"hsa-miR-185-3p","Empty 0",
