"Cluster","Gene"
"HSA-LET-7A-5P","UHRF1"
"HSA-LET-7A-5P","PARP1"
"HSA-LET-7B-5P","CTHRC1"
"HSA-LET-7E-5P","IGF1"
"HSA-LET-7E-5P","PLK1"
"HSA-LET-7F-5P","POSTN"
"HSA-LET-7F-5P","SOCS3"
"HSA-LET-7G-3P","CCL2"
"HSA-LET-7I-5P","IGF1"
"HSA-MIR-1-3P","IGF1"
"HSA-MIR-1-3P","CEBPA"
"HSA-MIR-1-3P","CCL2"
"HSA-MIR-1-3P","ASPH"
"HSA-MIR-100-5P","PLK1"
"HSA-MIR-101-3P","FOS"
"HSA-MIR-101-3P","CDH5"
"HSA-MIR-101-3P","KLF6"
"HSA-MIR-101-5P","FOS"
"HSA-MIR-103A-3P","CAV1"
"HSA-MIR-103A-3P","GPD1"
"HSA-MIR-103A-3P","KLF4"
"HSA-MIR-103A-3P","RAD51"
"HSA-MIR-106A-5P","HIF1A"
"HSA-MIR-106A-5P","TGFBR2"
"HSA-MIR-106A-5P","BMP2"
"HSA-MIR-106B-3P","BMP2"
"HSA-MIR-106B-5P","HIF1A"
"HSA-MIR-106B-5P","WEE1"
"HSA-MIR-106B-5P","SLC2A4"
"HSA-MIR-107","FOXO1"
"HSA-MIR-107","HIF1A"
"HSA-MIR-107","CAV1"
"HSA-MIR-107","KLF4"
"HSA-MIR-107","SALL4"
"HSA-MIR-107","RAD51"
"HSA-MIR-10A-5P","CHL1"
"HSA-MIR-10A-5P","MMP14"
"HSA-MIR-10B-3P","PLK1"
"HSA-MIR-10B-3P","BUB1"
"HSA-MIR-10B-5P","SDC1"
"HSA-MIR-10B-5P","NR4A3"
"HSA-MIR-10B-5P","KL"
"HSA-MIR-10B-5P","KLF4"
"HSA-MIR-10B-5P","HTATIP2"
"HSA-MIR-122-5P","ACVR1C"
"HSA-MIR-122-5P","ANK2"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-1226-3P","MUC1"
"HSA-MIR-1228-3P","MOAP1"
"HSA-MIR-124-3P","NR3C1"
"HSA-MIR-124-3P","CEBPA"
"HSA-MIR-124-3P","UHRF1"
"HSA-MIR-124-3P","CCL2"
"HSA-MIR-124-3P","CAV1"
"HSA-MIR-124-3P","SMYD3"
"HSA-MIR-124-3P","TRIB3"
"HSA-MIR-124-3P","VIM"
"HSA-MIR-124-3P","LAMC1"
"HSA-MIR-124-3P","KLF6"
"HSA-MIR-125A-3P","NRG1"
"HSA-MIR-125A-5P","CD34"
"HSA-MIR-125A-5P","MMP11"
"HSA-MIR-125B-5P","CEBPA"
"HSA-MIR-125B-5P","BMPR1B"
"HSA-MIR-125B-5P","MUC1"
"HSA-MIR-125B-5P","CDH5"
"HSA-MIR-126-3P","SLC7A5"
"HSA-MIR-126-3P","TEK"
"HSA-MIR-128-3P","WEE1"
"HSA-MIR-128-3P","IGF1"
"HSA-MIR-128-3P","ABCA1"
"HSA-MIR-128-3P","NEK2"
"HSA-MIR-128-3P","KLF4"
"HSA-MIR-128-3P","RELN"
"HSA-MIR-129-5P","IGF1"
"HSA-MIR-129-5P","VIM"
"HSA-MIR-130A-3P","TGFBR2"
"HSA-MIR-130A-3P","ESR1"
"HSA-MIR-130A-3P","PPARG"
"HSA-MIR-130A-3P","KLF4"
"HSA-MIR-130B-3P","NR3C1"
"HSA-MIR-130B-3P","IGF1"
"HSA-MIR-130B-3P","PPARG"
"HSA-MIR-132-3P","FOXO1"
"HSA-MIR-132-3P","CCNB1"
"HSA-MIR-132-3P","TLN2"
"HSA-MIR-132-5P","FOXO1"
"HSA-MIR-133A-3P","MMP14"
"HSA-MIR-133A-3P","IGF1"
"HSA-MIR-133B","MMP14"
"HSA-MIR-133B","ERG"
"HSA-MIR-133B","SGK1"
"HSA-MIR-134-5P","FOXM1"
"HSA-MIR-134-5P","ZDHHC9"
"HSA-MIR-134-5P","VIM"
"HSA-MIR-135A-5P","FOXO1"
"HSA-MIR-135A-5P","MMP11"
"HSA-MIR-135A-5P","VLDLR"
"HSA-MIR-135A-5P","TXNIP"
"HSA-MIR-135A-5P","PTK2"
"HSA-MIR-135A-5P","KLF4"
"HSA-MIR-135B-5P","FOXO1"
"HSA-MIR-135B-5P","KLF4"
"HSA-MIR-137","MYO1C"
"HSA-MIR-137","KLF4"
"HSA-MIR-138-1-3P","HIF1A"
"HSA-MIR-138-5P","HIF1A"
"HSA-MIR-138-5P","FERMT2"
"HSA-MIR-138-5P","VIM"
"HSA-MIR-138-5P","H2AFX"
"HSA-MIR-138-5P","PTK2"
"HSA-MIR-138-5P","TWIST2"
"HSA-MIR-138-5P","RELN"
"HSA-MIR-139-3P","MMP11"
"HSA-MIR-139-5P","MMP11"
"HSA-MIR-139-5P","FOS"
"HSA-MIR-140-5P","MMD"
"HSA-MIR-140-5P","ALDH1A1"
"HSA-MIR-140-5P","LAMC1"
"HSA-MIR-141-3P","YWHAG"
"HSA-MIR-141-3P","CDC25C"
"HSA-MIR-142-3P","EGR2"
"HSA-MIR-142-5P","HIF1A"
"HSA-MIR-142-5P","TGFBR2"
"HSA-MIR-143-3P","MMP14"
"HSA-MIR-143-3P","GABARAPL1"
