"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,1,0
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,59,2,1
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,2
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,3
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,4
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,5
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,6
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,7
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,8
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,3,9
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,38,1,0
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,41,2,1
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,50,3,2
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,3
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,4
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,5
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,6
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,7
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,8
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,51,4,9
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,22,1,0
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,1
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,2
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,3
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,4
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,5
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,6
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,7
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,8
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,25,2,9
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,0.9753086419753086,2,1,0
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,50,2,1
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,51,3,2
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,3
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,4
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,5
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,6
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,7
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,8
"pos",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,"svm",0.9259259259259259,0.8333333333333334,0.9938271604938271,52,4,9
"pos",1,1,1,1,1,"svm",1,1,1,5,1,0
"pos",1,1,1,1,1,"svm",1,1,1,20,2,1
"pos",1,1,1,1,1,"svm",1,1,1,23,3,2
"pos",1,1,1,1,1,"svm",1,1,1,27,4,3
"pos",1,1,1,1,1,"svm",1,1,1,28,5,4
"pos",1,1,1,1,1,"svm",1,1,1,29,6,5
"pos",1,1,1,1,1,"svm",1,1,1,29,6,6
"pos",1,1,1,1,1,"svm",1,1,1,29,6,7
"pos",1,1,1,1,1,"svm",1,1,1,29,6,8
"pos",1,1,1,1,1,"svm",1,1,1,29,6,9
"pos",1,1,1,1,1,"svm",1,1,1,3,1,0
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,27,2,1
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,29,3,2
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,34,4,3
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,35,5,4
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,35,5,5
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,35,5,6
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,35,5,7
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,35,5,8
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,35,5,9
"pos",1,1,1,1,1,"svm",1,1,1,9,1,0
"pos",1,1,1,1,1,"svm",1,1,1,12,2,1
"pos",1,1,1,1,1,"svm",1,1,1,14,3,2
"pos",1,1,1,1,1,"svm",1,1,1,15,4,3
"pos",1,1,1,1,1,"svm",1,1,1,16,5,4
"pos",1,1,1,1,1,"svm",1,1,1,16,5,5
"pos",1,1,1,1,1,"svm",1,1,1,16,5,6
"pos",1,1,1,1,1,"svm",1,1,1,16,5,7
"pos",1,1,1,1,1,"svm",1,1,1,16,5,8
"pos",1,1,1,1,1,"svm",1,1,1,16,5,9
"pos",1,1,1,1,1,"svm",1,1,1,51,1,0
"pos",1,1,1,1,1,"svm",1,1,1,59,2,1
"pos",1,1,1,1,1,"svm",1,1,1,67,3,2
"pos",1,1,1,1,1,"svm",1,1,1,75,4,3
"pos",1,1,1,1,1,"svm",1,1,1,76,5,4
"pos",1,1,1,1,1,"svm",1,1,1,77,6,5
"pos",1,1,1,1,1,"svm",1,1,1,79,7,6
"pos",1,1,1,1,1,"svm",1,1,1,79,7,7
"pos",1,1,1,1,1,"svm",1,1,1,79,7,8
"pos",1,1,1,1,1,"svm",1,1,1,79,7,9
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,21,1,0
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,25,2,1
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,2
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,3
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,4
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,5
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,6
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,7
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,8
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,30,3,9
"pos",0.8888888888888888,0.8,0.8888888888888888,0.8888888888888888,0.8421052631578948,"svm",0.8888888888888888,0.7567567567567566,0.9444444444444444,11,1,0
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,14,2,1
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,2
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,3
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,4
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,5
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,6
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,7
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,8
"pos",0.7777777777777778,0.875,0.7777777777777778,0.9444444444444444,0.823529411764706,"svm",0.8888888888888888,0.7428571428571428,0.9567901234567902,15,3,9
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,71,1,0
"pos",0.7777777777777778,1,0.7777777777777778,1,0.8750000000000001,"svm",0.9259259259259259,0.8235294117647058,1,73,2,1
"pos",1,1,1,1,1,"svm",1,1,1,77,3,2
"pos",1,1,1,1,1,"svm",1,1,1,78,4,3
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,79,5,4
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,80,6,5
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,81,7,6
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,81,7,7
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,81,7,8
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,81,7,9
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,3,1,0
"pos",1,1,1,1,1,"svm",1,1,1,60,2,1
"pos",1,1,1,1,1,"svm",1,1,1,74,3,2
"pos",1,1,1,1,1,"svm",1,1,1,75,4,3
"pos",1,1,1,1,1,"svm",1,1,1,75,4,4
"pos",1,1,1,1,1,"svm",1,1,1,75,4,5
"pos",1,1,1,1,1,"svm",1,1,1,75,4,6
"pos",1,1,1,1,1,"svm",1,1,1,75,4,7
"pos",1,1,1,1,1,"svm",1,1,1,75,4,8
"pos",1,1,1,1,1,"svm",1,1,1,75,4,9
"pos",1,1,1,1,1,"svm",1,1,1,46,1,0
"pos",1,1,1,1,1,"svm",1,1,1,48,2,1
"pos",1,1,1,1,1,"svm",1,1,1,57,3,2
"pos",1,1,1,1,1,"svm",1,1,1,58,4,3
"pos",1,1,1,1,1,"svm",1,1,1,60,5,4
"pos",1,1,1,1,1,"svm",1,1,1,60,5,5
"pos",1,1,1,1,1,"svm",1,1,1,60,5,6
"pos",1,1,1,1,1,"svm",1,1,1,60,5,7
"pos",1,1,1,1,1,"svm",1,1,1,60,5,8
"pos",1,1,1,1,1,"svm",1,1,1,60,5,9
"pos",1,1,1,1,1,"svm",1,1,1,22,1,0
"pos",1,1,1,1,1,"svm",1,1,1,26,2,1
"pos",1,1,1,1,1,"svm",1,1,1,26,2,2
"pos",1,1,1,1,1,"svm",1,1,1,26,2,3
"pos",1,1,1,1,1,"svm",1,1,1,26,2,4
"pos",1,1,1,1,1,"svm",1,1,1,26,2,5
"pos",1,1,1,1,1,"svm",1,1,1,26,2,6
"pos",1,1,1,1,1,"svm",1,1,1,26,2,7
"pos",1,1,1,1,1,"svm",1,1,1,26,2,8
"pos",1,1,1,1,1,"svm",1,1,1,26,2,9
"pos",1,1,1,1,1,"svm",1,1,1,25,1,0
"pos",1,1,1,1,1,"svm",1,1,1,27,2,1
"pos",1,1,1,1,1,"svm",1,1,1,28,3,2
"pos",1,1,1,1,1,"svm",1,1,1,31,4,3
"pos",1,1,1,1,1,"svm",1,1,1,32,5,4
"pos",1,1,1,1,1,"svm",1,1,1,32,5,5
"pos",1,1,1,1,1,"svm",1,1,1,32,5,6
"pos",1,1,1,1,1,"svm",1,1,1,32,5,7
"pos",1,1,1,1,1,"svm",1,1,1,32,5,8
"pos",1,1,1,1,1,"svm",1,1,1,32,5,9
"pos",1,1,1,1,1,"svm",1,1,1,31,1,0
"pos",1,1,1,1,1,"svm",1,1,1,32,2,1
"pos",1,1,1,1,1,"svm",1,1,1,32,2,2
"pos",1,1,1,1,1,"svm",1,1,1,32,2,3
"pos",1,1,1,1,1,"svm",1,1,1,32,2,4
"pos",1,1,1,1,1,"svm",1,1,1,32,2,5
"pos",1,1,1,1,1,"svm",1,1,1,32,2,6
"pos",1,1,1,1,1,"svm",1,1,1,32,2,7
"pos",1,1,1,1,1,"svm",1,1,1,32,2,8
"pos",1,1,1,1,1,"svm",1,1,1,32,2,9
"pos",1,1,1,1,1,"svm",1,1,1,26,1,0
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,34,2,1
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,36,3,2
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,37,4,3
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,38,5,4
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,38,5,5
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,38,5,6
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,38,5,7
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,38,5,8
"pos",1,0.9,1,0.9444444444444444,0.9473684210526316,"svm",0.9629629629629629,0.9189189189189187,1,38,5,9
"pos",0.8888888888888888,0.7272727272727273,0.8888888888888888,0.8333333333333334,0.7999999999999999,"svm",0.8518518518518519,0.6842105263157896,0.9814814814814816,2,1,0
"pos",1,1,1,1,1,"svm",1,1,1,36,2,1
"pos",1,1,1,1,1,"svm",1,1,1,46,3,2
"pos",1,1,1,1,1,"svm",1,1,1,51,4,3
"pos",1,1,1,1,1,"svm",1,1,1,52,5,4
"pos",1,1,1,1,1,"svm",1,1,1,53,6,5
"pos",1,1,1,1,1,"svm",1,1,1,53,6,6
"pos",1,1,1,1,1,"svm",1,1,1,53,6,7
"pos",1,1,1,1,1,"svm",1,1,1,53,6,8
"pos",1,1,1,1,1,"svm",1,1,1,53,6,9
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,52,1,0
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,56,2,1
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,57,3,2
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,60,4,3
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,61,5,4
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,61,5,5
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,61,5,6
"pos",0.8888888888888888,1,0.8888888888888888,1,0.9411764705882353,"svm",0.9629629629629629,0.9142857142857141,1,61,5,7
