"Cluster","Gene"
"HSA-LET-7F-5P","KLK6"
"HSA-MIR-1-3P","HCN2"
"HSA-MIR-1-3P","TH"
"HSA-MIR-100-5P","FGFR3"
"HSA-MIR-101-3P","FOS"
"HSA-MIR-101-5P","FOS"
"HSA-MIR-103A-3P","GPD1"
"HSA-MIR-106B-5P","DAB2"
"HSA-MIR-107","SALL4"
"HSA-MIR-10B-5P","HTATIP2"
"HSA-MIR-124-5P","FOXQ1"
"HSA-MIR-125B-1-3P","TACSTD2"
"HSA-MIR-125B-5P","BTG2"
"HSA-MIR-125B-5P","CYP24A1"
"HSA-MIR-125B-5P","ENPEP"
"HSA-MIR-125B-5P","PODXL"
"HSA-MIR-125B-5P","EPO"
"HSA-MIR-126-3P","CADM1"
"HSA-MIR-126-3P","IGFBP2"
"HSA-MIR-126-3P","SLC45A3"
"HSA-MIR-126-5P","SLC45A3"
"HSA-MIR-1271-5P","FOXQ1"
"HSA-MIR-128-3P","LGALS3"
"HSA-MIR-132-3P","MUC13"
"HSA-MIR-133A-3P","HCN2"
"HSA-MIR-133B","HCN2"
"HSA-MIR-133B","FOXC1"
"HSA-MIR-137","SLC6A3"
"HSA-MIR-138-5P","SLC45A3"
"HSA-MIR-138-5P","FOXC1"
"HSA-MIR-139-5P","FOS"
"HSA-MIR-140-3P","ATP6AP2"
"HSA-MIR-142-3P","PROM1"
"HSA-MIR-142-3P","LGR5"
"HSA-MIR-143-3P","HNF4A"
"HSA-MIR-145-5P","DDC"
"HSA-MIR-145-5P","PODXL"
"HSA-MIR-146A-5P","LRP2"
"HSA-MIR-148A-3P","ERRFI1"
"HSA-MIR-150-5P","FLT3"
"HSA-MIR-152-3P","FGFR3"
"HSA-MIR-155-5P","PKIA"
"HSA-MIR-155-5P","GATM"
"HSA-MIR-155-5P","GPM6B"
"HSA-MIR-155-5P","FOS"
"HSA-MIR-155-5P","FGF7"
"HSA-MIR-15A-5P","CADM1"
"HSA-MIR-15A-5P","FGF7"
