"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,80,1,0
"pos",1,1,1,1,1,"svm",1,1,1,132,2,1
"pos",1,1,1,1,1,"svm",1,1,1,992,3,2
"pos",1,1,1,1,1,"svm",1,1,1,1079,4,3
"pos",1,1,1,1,1,"svm",1,1,1,1166,5,4
"pos",1,1,1,1,1,"svm",1,1,1,1181,6,5
"pos",1,1,1,1,1,"svm",1,1,1,1937,7,6
"pos",1,1,1,1,1,"svm",1,1,1,2015,8,7
"pos",1,1,1,1,1,"svm",1,1,1,2803,9,8
"pos",1,1,1,1,1,"svm",1,1,1,3635,10,9
"pos",1,0.75,1,0.8,0.8571428571428571,"svm",0.875,0.75,1,38,1,0
"pos",1,1,1,1,1,"svm",1,1,1,932,2,1
"pos",1,1,1,1,1,"svm",1,1,1,1001,3,2
"pos",1,1,1,1,1,"svm",1,1,1,1768,4,3
"pos",1,1,1,1,1,"svm",1,1,1,1832,5,4
"pos",1,1,1,1,1,"svm",1,1,1,2559,6,5
"pos",1,1,1,1,1,"svm",1,1,1,2634,7,6
"pos",1,1,1,1,1,"svm",1,1,1,2693,8,7
"pos",1,1,1,1,1,"svm",1,1,1,3509,9,8
"pos",1,1,1,1,1,"svm",1,1,1,4428,10,9
"pos",1,1,1,1,1,"svm",1,1,1,65,1,0
"pos",1,1,1,1,1,"svm",1,1,1,91,2,1
"pos",1,1,1,1,1,"svm",1,1,1,994,3,2
"pos",1,1,1,1,1,"svm",1,1,1,1051,4,3
"pos",1,1,1,1,1,"svm",1,1,1,1119,5,4
"pos",1,1,1,1,1,"svm",1,1,1,1185,6,5
"pos",1,1,1,1,1,"svm",1,1,1,1195,7,6
"pos",1,1,1,1,1,"svm",1,1,1,1993,8,7
"pos",1,1,1,1,1,"svm",1,1,1,2056,9,8
"pos",1,1,1,1,1,"svm",1,1,1,2879,10,9
"pos",1,1,1,1,1,"svm",1,1,1,42,1,0
"pos",1,1,1,1,1,"svm",1,1,1,977,2,1
"pos",1,1,1,1,1,"svm",1,1,1,1732,3,2
"pos",1,1,1,1,1,"svm",1,1,1,2541,4,3
"pos",1,1,1,1,1,"svm",1,1,1,3315,5,4
"pos",1,1,1,1,1,"svm",1,1,1,4261,6,5
"pos",1,1,1,1,1,"svm",1,1,1,4968,7,6
"pos",1,1,1,1,1,"svm",1,1,1,5911,8,7
"pos",1,1,1,1,1,"svm",1,1,1,6467,9,8
"pos",1,1,1,1,1,"svm",1,1,1,6782,10,9
