"Cluster","Gene"
"HSA-LET-7A-3P","CCND1"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7B-5P","CCND1"
"HSA-LET-7C-5P","MTOR"
"HSA-LET-7E-5P","MYCN"
"HSA-LET-7E-5P","CCND1"
"HSA-LET-7F-5P","KLK6"
"HSA-LET-7F-5P","CCND1"
"HSA-MIR-1-3P","BDNF"
"HSA-MIR-1-3P","CCND1"
"HSA-MIR-1-3P","SLC8A1"
"HSA-MIR-1-3P","KCNE1"
"HSA-MIR-1-5P","BDNF"
"HSA-MIR-100-5P","FLT1"
"HSA-MIR-100-5P","MTOR"
"HSA-MIR-101-3P","MYCN"
"HSA-MIR-101-3P","MTOR"
"HSA-MIR-101-3P","CCND1"
"HSA-MIR-103A-3P","MYCN"
"HSA-MIR-103A-3P","BNIP3"
"HSA-MIR-103A-3P","GPD1"
"HSA-MIR-106A-5P","RUNX3"
"HSA-MIR-106A-5P","CCND1"
"HSA-MIR-106B-5P","RUNX3"
"HSA-MIR-106B-5P","CCND1"
"HSA-MIR-10A-5P","BDNF"
"HSA-MIR-10B-5P","KL"
"HSA-MIR-10B-5P","TFAP2C"
"HSA-MIR-10B-5P","PPARA"
"HSA-MIR-122-5P","EGLN3"
"HSA-MIR-122-5P","FOXJ3"
"HSA-MIR-124-3P","BDNF"
"HSA-MIR-125A-5P","MTOR"
"HSA-MIR-125A-5P","BCL2"
"HSA-MIR-125B-1-3P","TACSTD2"
"HSA-MIR-125B-5P","BTG2"
"HSA-MIR-125B-5P","BCL2"
"HSA-MIR-125B-5P","PODXL"
"HSA-MIR-125B-5P","PTH1R"
"HSA-MIR-126-3P","BCL2"
"HSA-MIR-126-3P","PLK2"
"HSA-MIR-1260B","SFRP1"
"HSA-MIR-127-3P","SFRP1"
"HSA-MIR-1271-5P","GPC3"
"HSA-MIR-128-3P","MTOR"
"HSA-MIR-1284","BCL2"
"HSA-MIR-130A-3P","RUNX3"
"HSA-MIR-130A-3P","PPARA"
"HSA-MIR-130B-3P","RUNX3"
"HSA-MIR-130B-3P","PPARA"
"HSA-MIR-132-3P","BDNF"
"HSA-MIR-133A-3P","PRDM16"
"HSA-MIR-133B","PRDM16"
"HSA-MIR-133B","FOXC1"
"HSA-MIR-134-5P","ANGPTL4"
"HSA-MIR-135A-5P","BCL2"
"HSA-MIR-135A-5P","PTPRD"
"HSA-MIR-135B-5P","LZTS1"
"HSA-MIR-135B-5P","CASR"
"HSA-MIR-136-5P","BCL2"
"HSA-MIR-137","BMP7"
"HSA-MIR-137","SLC6A3"
"HSA-MIR-137","NR1I3"
"HSA-MIR-138-5P","CCND1"
"HSA-MIR-138-5P","FOXC1"
"HSA-MIR-139-5P","BCL2"
"HSA-MIR-141-3P","HOXB5"
"HSA-MIR-141-3P","DLX5"
"HSA-MIR-141-3P","PTPRD"
"HSA-MIR-141-3P","PPARA"
"HSA-MIR-141-5P","WNK1"
"HSA-MIR-143-3P","BCL2"
"HSA-MIR-143-3P","HNF4A"
"HSA-MIR-144-3P","MTOR"
"HSA-MIR-145-3P","PLCE1"
"HSA-MIR-145-5P","ROBO2"
"HSA-MIR-145-5P","BNIP3"
"HSA-MIR-145-5P","DDC"
"HSA-MIR-145-5P","PODXL"
"HSA-MIR-146A-5P","NOS1"
"HSA-MIR-146A-5P","CCND1"
"HSA-MIR-147A","SLC22A3"
"HSA-MIR-148A-3P","BCL2"
"HSA-MIR-148A-3P","RUNX3"
"HSA-MIR-148A-5P","GAS1"
"HSA-MIR-150-5P","POLD3"
"HSA-MIR-151A-5P","CASZ1"
"HSA-MIR-152-3P","TGFA"
