"Cluster","Gene"
"HSA-LET-7A-3P","CCND2"
"HSA-LET-7A-5P","CCND2"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7A-5P","NKIRAS2"
"HSA-LET-7B-5P","CCND2"
"HSA-LET-7B-5P","PDGFRA"
"HSA-MIR-1-3P","MET"
"HSA-MIR-1-3P","SLC8A1"
"HSA-MIR-1-3P","KCNE1"
"HSA-MIR-1-5P","MET"
"HSA-MIR-100-5P","FLT1"
"HSA-MIR-101-3P","MET"
"HSA-MIR-101-3P","ITGA3"
"HSA-MIR-103A-3P","OLFM4"
"HSA-MIR-106A-5P","TIMP2"
"HSA-MIR-106B-5P","CCND2"
"HSA-MIR-107","PLAG1"
"HSA-MIR-10B-5P","KL"
"HSA-MIR-122-5P","TPD52L2"
"HSA-MIR-122-5P","ANK2"
"HSA-MIR-122-5P","ATP1A2"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-1236-3P","KDR"
"HSA-MIR-124-3P","CCND2"
"HSA-MIR-124-3P","SYCP1"
"HSA-MIR-124-3P","NFKBIZ"
"HSA-MIR-124-5P","ACHE"
"HSA-MIR-1256","SELE"
"HSA-MIR-1258","MRGPRF"
"HSA-MIR-125A-5P","CASP2"
"HSA-MIR-125B-5P","NES"
"HSA-MIR-125B-5P","NKIRAS2"
"HSA-MIR-125B-5P","NEU1"
"HSA-MIR-125B-5P","CSNK2A1"
"HSA-MIR-125B-5P","PODXL"
"HSA-MIR-125B-5P","PTH1R"
"HSA-MIR-126-3P","HOXA9"
"HSA-MIR-126-3P","PGR"
"HSA-MIR-126-3P","IGFBP2"
"HSA-MIR-126-3P","TEK"
"HSA-MIR-1260B","SFRP1"
"HSA-MIR-127-3P","MAPK4"
"HSA-MIR-127-3P","SFRP1"
"HSA-MIR-1271-5P","GPC3"
"HSA-MIR-128-3P","POU5F1"
"HSA-MIR-130A-3P","PDGFRA"
"HSA-MIR-130B-3P","PDGFRA"
"HSA-MIR-132-3P","GDF5"
"HSA-MIR-132-3P","MUC13"
"HSA-MIR-132-3P","TLN2"
"HSA-MIR-133A-3P","PRDM16"
"HSA-MIR-133A-3P","KCNH2"
"HSA-MIR-133A-5P","GDNF"
"HSA-MIR-133B","PRDM16"
"HSA-MIR-133B","KCNH2"
"HSA-MIR-133B","MET"
"HSA-MIR-135B-5P","CASR"
"HSA-MIR-137","MET"
"HSA-MIR-137","NR1I3"
"HSA-MIR-139-5P","MET"
"HSA-MIR-140-5P","PDGFRA"
"HSA-MIR-141-3P","VAC14"
"HSA-MIR-142-3P","HOXA9"
"HSA-MIR-144-3P","MET"
"HSA-MIR-144-3P","PLAG1"
"HSA-MIR-144-5P","MET"
"HSA-MIR-145-3P","PLCE1"
"HSA-MIR-145-5P","HOXA9"
"HSA-MIR-145-5P","POU5F1"
"HSA-MIR-145-5P","PODXL"
"HSA-MIR-146A-5P","NOS1"
"HSA-MIR-146A-5P","CCND2"
"HSA-MIR-146B-5P","PDGFRA"
"HSA-MIR-147A","SLC22A3"
"HSA-MIR-148A-3P","MET"
"HSA-MIR-151A-5P","SOX17"
"HSA-MIR-154-5P","CCND2"
"HSA-MIR-155-5P","CCND2"
"HSA-MIR-155-5P","CARHSP1"
"HSA-MIR-155-5P","GATM"
"HSA-MIR-155-5P","CIAPIN1"
"HSA-MIR-155-5P","SELE"
"HSA-MIR-15A-5P","CCND2"
"HSA-MIR-15B-5P","KDR"
"HSA-MIR-16-1-3P","CCND2"
"HSA-MIR-16-5P","KDR"
"HSA-MIR-16-5P","CCND2"
"HSA-MIR-17-3P","KDR"
"HSA-MIR-17-3P","SELE"
"HSA-MIR-17-5P","CCND2"
"HSA-MIR-17-5P","SELE"
"HSA-MIR-181A-5P","PROX1"
"HSA-MIR-181A-5P","PGR"
"HSA-MIR-181A-5P","PLAG1"
"HSA-MIR-181B-3P","NFASC"
"HSA-MIR-181B-5P","PLAG1"
"HSA-MIR-181C-5P","NOTCH4"
"HSA-MIR-182-3P","NOX4"
"HSA-MIR-182-5P","CCND2"
"HSA-MIR-182-5P","NRN1"
"HSA-MIR-182-5P","SATB2"
"HSA-MIR-182-5P","CREB5"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-185-5P","SLC8A1"
"HSA-MIR-185-5P","AQP3"
"HSA-MIR-186-5P","CSNK2A1"
"HSA-MIR-188-5P","GREM2"
"HSA-MIR-1908-5P","NKIRAS2"
"HSA-MIR-191-5P","CCND2"
"HSA-MIR-193A-5P","WT1"
"HSA-MIR-194-5P","TLN2"
"HSA-MIR-195-5P","KDR"
"HSA-MIR-196A-5P","ANXA1"
"HSA-MIR-196B-5P","HOXA9"
"HSA-MIR-197-5P","IGFBP5"
"HSA-MIR-198","CCND2"
"HSA-MIR-198","MET"
"HSA-MIR-199A-3P","KDR"
"HSA-MIR-199A-3P","MET"
"HSA-MIR-199A-3P","FLT1"
"HSA-MIR-199A-3P","ITGA3"
"HSA-MIR-199A-5P","KL"
"HSA-MIR-199A-5P","CDKN1C"
"HSA-MIR-199A-5P","ITGA3"
"HSA-MIR-199B-3P","ITGA3"
"HSA-MIR-199B-5P","ITGA3"
"HSA-MIR-199B-5P","PODXL"
"HSA-MIR-19B-1-5P","KDR"
"HSA-MIR-200A-3P","GRB2"
"HSA-MIR-200A-3P","VAC14"
"HSA-MIR-200A-5P","SOX17"
"HSA-MIR-200B-3P","KDR"
"HSA-MIR-200B-3P","FLT1"
"HSA-MIR-200B-3P","VAC14"
"HSA-MIR-200C-3P","KDR"
"HSA-MIR-200C-3P","TIMP2"
"HSA-MIR-200C-3P","FLT1"
"HSA-MIR-200C-3P","TUBB3"
"HSA-MIR-200C-3P","VAC14"
"HSA-MIR-203A-3P","CBLL1"
"HSA-MIR-203A-3P","EYA4"
"HSA-MIR-203A-3P","CASK"
"HSA-MIR-203A-5P","CCND2"
"HSA-MIR-204-5P","MAP1LC3B"
"HSA-MIR-204-5P","IGFBP2"
"HSA-MIR-204-5P","CREB5"
"HSA-MIR-204-5P","ALPL"
"HSA-MIR-204-5P","SOST"
"HSA-MIR-205-5P","LRRK2"
"HSA-MIR-205-5P","SATB2"
"HSA-MIR-205-5P","HMGB3"
"HSA-MIR-206","SFRP1"
"HSA-MIR-206","CCND2"
"HSA-MIR-206","MET"
"HSA-MIR-20A-3P","BID"
"HSA-MIR-20A-5P","CCND2"
"HSA-MIR-20A-5P","TIMP2"
"HSA-MIR-20A-5P","BAMBI"
"HSA-MIR-20B-5P","BAMBI"
"HSA-MIR-21-5P","TCF21"
"HSA-MIR-21-5P","PLOD3"
"HSA-MIR-21-5P","TGFBR3"
"HSA-MIR-21-5P","GDF5"
"HSA-MIR-21-5P","TRAF7"
"HSA-MIR-210-3P","HOXA9"
"HSA-MIR-211-5P","IGFBP5"
"HSA-MIR-211-5P","SATB2"
"HSA-MIR-211-5P","CREB5"
"HSA-MIR-212-3P","ACHE"
"HSA-MIR-212-3P","RBP2"
"HSA-MIR-216B-5P","CSNK2A1"
"HSA-MIR-217","GPC5"
"HSA-MIR-218-2-3P","SLIT3"
"HSA-MIR-218-5P","PDGFRA"
