"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,182,1,0
"pos",1,1,1,1,1,"svm",1,1,0.9999999999999999,186,2,1
"pos",1,1,1,1,1,"svm",1,1,1,220,3,2
"pos",1,1,1,1,1,"svm",1,1,1,241,4,3
"pos",1,1,1,1,1,"svm",1,1,1,245,5,4
"pos",1,1,1,1,1,"svm",1,1,1,248,6,5
"pos",1,1,1,1,1,"svm",1,1,1,251,7,6
"pos",1,1,1,1,1,"svm",1,1,1,253,8,7
"pos",1,1,1,1,1,"svm",1,1,1,256,9,8
"pos",1,1,1,1,1,"svm",1,1,1,258,10,9
"pos",1,1,1,1,1,"svm",1,1,1,10,1,0
"pos",1,1,1,1,1,"svm",1,1,1,26,2,1
"pos",1,1,1,1,1,"svm",1,1,1,35,3,2
"pos",1,1,1,1,1,"svm",1,1,1,50,4,3
"pos",1,1,1,1,1,"svm",1,1,1,216,5,4
"pos",1,1,1,1,1,"svm",1,1,1,233,6,5
"pos",1,1,1,1,1,"svm",1,1,1,248,7,6
"pos",1,1,1,1,1,"svm",1,1,1,251,8,7
"pos",1,1,1,1,1,"svm",1,1,1,272,9,8
"pos",1,1,1,1,1,"svm",1,1,1,279,10,9
"pos",1,1,1,1,1,"svm",1,1,1,19,1,0
"pos",1,1,1,1,1,"svm",1,1,1,223,2,1
"pos",1,1,1,1,1,"svm",1,1,1,226,3,2
"pos",1,1,1,1,1,"svm",1,1,1,236,4,3
"pos",1,1,1,1,1,"svm",1,1,1,250,5,4
"pos",1,1,1,1,1,"svm",1,1,1,257,6,5
"pos",1,1,1,1,1,"svm",1,1,1,257,6,6
"pos",1,1,1,1,1,"svm",1,1,1,257,6,7
"pos",1,1,1,1,1,"svm",1,1,1,257,6,8
"pos",1,1,1,1,1,"svm",1,1,1,257,6,9
"pos",1,1,1,1,1,"svm",1,1,1,24,1,0
"pos",1,1,1,1,1,"svm",1,1,1,54,2,1
"pos",1,1,1,1,1,"svm",1,1,1,343,3,2
"pos",1,1,1,1,1,"svm",1,1,1,367,4,3
"pos",1,1,1,1,1,"svm",1,1,1,381,5,4
"pos",1,1,1,1,1,"svm",1,1,1,387,6,5
"pos",1,1,1,1,1,"svm",1,1,1,389,7,6
"pos",1,1,1,1,1,"svm",1,1,1,394,8,7
"pos",1,1,1,1,1,"svm",1,1,1,407,9,8
"pos",1,1,1,1,1,"svm",1,1,1,412,10,9
"pos",1,1,1,1,1,"svm",1,1,1,9,1,0
"pos",1,1,1,1,1,"svm",1,1,1,21,2,1
"pos",1,1,1,1,1,"svm",1,1,1,37,3,2
"pos",1,1,1,1,1,"svm",1,1,1,269,4,3
"pos",1,1,1,1,1,"svm",1,1,1,271,5,4
"pos",1,1,1,1,1,"svm",1,1,1,276,6,5
"pos",1,1,1,1,1,"svm",1,1,1,282,7,6
"pos",1,1,1,1,1,"svm",1,1,1,293,8,7
"pos",1,1,1,1,1,"svm",1,1,1,297,9,8
"pos",1,1,1,1,1,"svm",1,1,1,300,10,9
"pos",1,1,1,1,1,"svm",1,1,1,143,1,0
"pos",1,1,1,1,1,"svm",1,1,1,147,2,1
"pos",1,1,1,1,1,"svm",1,1,1,149,3,2
"pos",1,1,1,1,1,"svm",1,1,1,185,4,3
"pos",1,1,1,1,1,"svm",1,1,1,203,5,4
"pos",1,1,1,1,1,"svm",1,1,1,214,6,5
"pos",1,1,1,1,1,"svm",1,1,1,216,7,6
"pos",1,1,1,1,1,"svm",1,1,1,216,7,7
"pos",1,1,1,1,1,"svm",1,1,1,216,7,8
"pos",1,1,1,1,1,"svm",1,1,1,216,7,9
"pos",1,1,1,1,1,"svm",1,1,1,6,1,0
"pos",1,1,1,1,1,"svm",1,1,1,19,2,1
"pos",1,1,1,1,1,"svm",1,1,1,58,3,2
"pos",1,1,1,1,1,"svm",1,1,1,273,4,3
"pos",1,1,1,1,1,"svm",1,1,1,276,5,4
"pos",1,1,1,1,1,"svm",1,1,1,289,6,5
"pos",1,1,1,1,1,"svm",1,1,1,292,7,6
"pos",1,1,1,1,1,"svm",1,1,1,320,8,7
"pos",1,1,1,1,1,"svm",1,1,1,331,9,8
"pos",1,1,1,1,1,"svm",1,1,1,335,10,9
"pos",1,1,1,1,1,"svm",1,1,1,141,1,0
"pos",1,1,1,1,1,"svm",1,1,1,152,2,1
"pos",1,1,1,1,1,"svm",1,1,1,188,3,2
"pos",1,1,1,1,1,"svm",1,1,1,191,4,3
"pos",1,1,1,1,1,"svm",1,1,1,207,5,4
"pos",1,1,1,1,1,"svm",1,1,1,215,6,5
"pos",1,1,1,1,1,"svm",1,1,1,235,7,6
"pos",1,1,1,1,1,"svm",1,1,1,235,7,7
"pos",1,1,1,1,1,"svm",1,1,1,235,7,8
"pos",1,1,1,1,1,"svm",1,1,1,235,7,9
"pos",1,1,1,1,1,"svm",1,1,1,235,1,0
"pos",1,1,1,1,1,"svm",1,1,1,242,2,1
"pos",1,1,1,1,1,"svm",1,1,1,244,3,2
"pos",1,1,1,1,1,"svm",1,1,1,263,4,3
"pos",1,1,1,1,1,"svm",1,1,1,286,5,4
"pos",1,1,1,1,1,"svm",1,1,1,289,6,5
"pos",1,1,1,1,1,"svm",1,1,1,294,7,6
"pos",1,1,1,1,1,"svm",1,1,1,302,8,7
"pos",1,1,1,1,1,"svm",1,1,1,304,9,8
"pos",1,1,1,1,1,"svm",1,1,1,304,9,9
"pos",1,1,1,1,1,"svm",1,1,1,20,1,0
"pos",1,1,1,1,1,"svm",1,1,1,224,2,1
"pos",1,1,1,1,1,"svm",1,1,1,252,3,2
"pos",1,1,1,1,1,"svm",1,1,1,271,4,3
"pos",1,1,1,1,1,"svm",1,1,1,283,5,4
"pos",1,1,1,1,1,"svm",1,1,1,302,6,5
"pos",1,1,1,1,1,"svm",1,1,1,308,7,6
"pos",1,1,1,1,1,"svm",1,1,1,314,8,7
"pos",1,1,1,1,1,"svm",1,1,1,319,9,8
"pos",1,1,1,1,1,"svm",1,1,1,321,10,9
"pos",1,1,1,1,1,"svm",1,1,1,51,1,0
"pos",1,1,1,1,1,"svm",1,1,1,57,2,1
"pos",1,1,1,1,1,"svm",1,1,1,60,3,2
"pos",1,1,1,1,1,"svm",1,1,1,67,4,3
"pos",1,1,1,1,1,"svm",1,1,1,417,5,4
"pos",1,1,1,1,1,"svm",1,1,1,422,6,5
"pos",1,1,1,1,1,"svm",1,1,1,487,7,6
"pos",1,1,1,1,1,"svm",1,1,1,495,8,7
"pos",1,1,1,1,1,"svm",1,1,1,507,9,8
"pos",1,1,1,1,1,"svm",1,1,1,517,10,9
"pos",1,1,1,1,1,"svm",1,1,1,13,1,0
"pos",1,1,1,1,1,"svm",1,1,1,29,2,1
"pos",0.6666666666666666,1,0.6666666666666666,1,0.8,"svm",0.9,0.7368421052631581,0.9523809523809524,59,3,2
"pos",1,1,1,1,1,"svm",1,1,1,93,4,3
"pos",1,1,1,1,1,"svm",1,1,1,335,5,4
"pos",1,1,1,1,1,"svm",1,1,1,359,6,5
"pos",1,1,1,1,1,"svm",1,1,1,371,7,6
"pos",1,1,1,1,1,"svm",1,1,1,377,8,7
"pos",1,1,1,1,1,"svm",1,1,1,380,9,8
"pos",1,1,1,1,1,"svm",1,1,1,383,10,9
"pos",1,1,1,1,1,"svm",1,1,1,154,1,0
"pos",1,1,1,1,1,"svm",1,1,1,182,2,1
"pos",1,1,1,1,1,"svm",1,1,0.9999999999999999,193,3,2
"pos",1,1,1,1,1,"svm",1,1,1,227,4,3
"pos",1,1,1,1,1,"svm",1,1,1,259,5,4
"pos",1,1,1,1,1,"svm",1,1,1,262,6,5
"pos",1,1,1,1,1,"svm",1,1,1,280,7,6
"pos",1,1,1,1,1,"svm",1,1,1,282,8,7
"pos",1,1,1,1,1,"svm",1,1,1,285,9,8
"pos",1,1,1,1,1,"svm",1,1,1,288,10,9
"pos",1,1,1,1,1,"svm",1,1,1,4,1,0
"pos",1,1,1,1,1,"svm",1,1,1,22,2,1
"pos",0.6666666666666666,1,0.6666666666666666,1,0.8,"svm",0.9,0.7368421052631581,1,42,3,2
"pos",0.6666666666666666,1,0.6666666666666666,1,0.8,"svm",0.9,0.7368421052631581,1,53,4,3
"pos",1,1,1,1,1,"svm",1,1,1,314,5,4
"pos",1,1,1,1,1,"svm",1,1,1,324,6,5
"pos",1,1,1,1,1,"svm",1,1,1,361,7,6
"pos",1,1,1,1,1,"svm",1,1,1,363,8,7
"pos",1,1,1,1,1,"svm",1,1,1,367,9,8
"pos",1,1,1,1,1,"svm",1,1,1,372,10,9
