"Cluster","Gene"
"HSA-LET-7A-5P","PAK1"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7A-5P","CASP8"
"HSA-LET-7G-5P","CDKN2A"
"HSA-MIR-1-3P","PRKCE"
"HSA-MIR-1-3P","PTMA"
"HSA-MIR-1-3P","BDNF"
"HSA-MIR-1-3P","HSPD1"
"HSA-MIR-1-5P","BDNF"
"HSA-MIR-100-5P","BMPR2"
"HSA-MIR-100-5P","FKBP5"
"HSA-MIR-101-3P","CDH5"
"HSA-MIR-101-3P","ITGA3"
"HSA-MIR-101-3P","GRSF1"
"HSA-MIR-101-5P","PRKDC"
"HSA-MIR-103A-3P","SNCG"
"HSA-MIR-103A-3P","CAV1"
"HSA-MIR-103A-3P","BNIP3"
"HSA-MIR-103A-3P","KLF4"
"HSA-MIR-103A-3P","RUNX2"
"HSA-MIR-106B-5P","CASP8"
"HSA-MIR-107","SNCG"
"HSA-MIR-107","CAV1"
"HSA-MIR-107","CHRM1"
"HSA-MIR-107","PRKCE"
"HSA-MIR-107","KLF4"
"HSA-MIR-10A-5P","BDNF"
"HSA-MIR-10B-5P","SDC1"
"HSA-MIR-10B-5P","NR4A3"
"HSA-MIR-10B-5P","KLF4"
"HSA-MIR-10B-5P","TFAP2C"
"HSA-MIR-10B-5P","HTATIP2"
"HSA-MIR-10B-5P","CDKN2A"
"HSA-MIR-122-5P","FUT8"
"HSA-MIR-122-5P","AACS"
"HSA-MIR-122-5P","ALDOA"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-124-3P","DNMT3B"
"HSA-MIR-124-3P","CAV1"
"HSA-MIR-124-3P","MTDH"
"HSA-MIR-124-3P","BDNF"
"HSA-MIR-124-3P","GRIA1"
"HSA-MIR-1245A","BRCA2"
"HSA-MIR-1247-5P","MAP3K9"
"HSA-MIR-125A-5P","KLF13"
"HSA-MIR-125A-5P","LIFR"
"HSA-MIR-125B-1-3P","S1PR1"
"HSA-MIR-125B-5P","PIAS3"
"HSA-MIR-125B-5P","KLF13"
"HSA-MIR-125B-5P","CDH5"
"HSA-MIR-125B-5P","CSNK2A1"
"HSA-MIR-125B-5P","CDKN2A"
"HSA-MIR-125B-5P","LIFR"
"HSA-MIR-126-3P","CCNE2"
"HSA-MIR-126-3P","TEK"
"HSA-MIR-126-3P","ADAM9"
"HSA-MIR-126-5P","ADAM9"
"HSA-MIR-127-3P","XRCC3"
"HSA-MIR-128-1-5P","WNT3A"
"HSA-MIR-128-3P","KLF4"
"HSA-MIR-129-5P","IGF2BP3"
"HSA-MIR-1291","SLC2A1"
"HSA-MIR-1303","CLDN18"
"HSA-MIR-130A-3P","HOXA10"
"HSA-MIR-130A-3P","KLF4"
"HSA-MIR-132-3P","SLC2A1"
"HSA-MIR-132-3P","CCNB1"
"HSA-MIR-132-3P","BDNF"
"HSA-MIR-133B","PPP2R2D"
"HSA-MIR-135A-5P","BMPR2"
"HSA-MIR-135A-5P","HOXA10"
"HSA-MIR-135A-5P","SLC6A4"
"HSA-MIR-135A-5P","KLF4"
"HSA-MIR-135A-5P","RUNX2"
"HSA-MIR-135B-5P","BMPR2"
"HSA-MIR-135B-5P","KLF4"
"HSA-MIR-136-5P","MTDH"
"HSA-MIR-137","RASGRF1"
"HSA-MIR-137","MTDH"
"HSA-MIR-137","CSE1L"
"HSA-MIR-137","KLF4"
"HSA-MIR-138-5P","LCN2"
"HSA-MIR-139-5P","NR5A2"
"HSA-MIR-141-3P","CDYL"
"HSA-MIR-142-3P","EGR2"
"HSA-MIR-142-3P","HOXA10"
"HSA-MIR-143-3P","SDC1"
"HSA-MIR-144-3P","ADAMTS1"
"HSA-MIR-144-5P","CCNE2"
"HSA-MIR-145-3P","MTDH"
"HSA-MIR-145-5P","EPAS1"
"HSA-MIR-145-5P","RTKN"
"HSA-MIR-145-5P","SPTBN1"
"HSA-MIR-145-5P","BNIP3"
"HSA-MIR-145-5P","MTDH"
"HSA-MIR-145-5P","NUDT1"
"HSA-MIR-145-5P","GOLM1"
"HSA-MIR-145-5P","KLF4"
"HSA-MIR-146A-5P","NOS1"
"HSA-MIR-146A-5P","FAF1"
"HSA-MIR-146A-5P","PRKCE"
"HSA-MIR-146A-5P","BRCA2"
"HSA-MIR-146A-5P","KIF22"
"HSA-MIR-146A-5P","IRAK1"
"HSA-MIR-146B-3P","IRAK1"
"HSA-MIR-146B-5P","IRAK1"
"HSA-MIR-148A-3P","DNMT3B"
"HSA-MIR-148A-3P","MAP3K9"
"HSA-MIR-148A-3P","S1PR1"
"HSA-MIR-148B-3P","SLC2A1"
"HSA-MIR-148B-3P","MAP3K9"
"HSA-MIR-150-5P","BIRC5"
"HSA-MIR-150-5P","SLC2A1"
"HSA-MIR-150-5P","EGR2"
"HSA-MIR-150-5P","MUC4"
"HSA-MIR-151A-5P","SOX17"
"HSA-MIR-152-3P","KLF4"
"HSA-MIR-153-3P","BMPR2"
"HSA-MIR-153-3P","MTDH"
"HSA-MIR-155-5P","MCM8"
"HSA-MIR-155-5P","CARD11"
"HSA-MIR-155-5P","LDOC1"
"HSA-MIR-155-5P","PCDH9"
"HSA-MIR-155-5P","RUNX2"
"HSA-MIR-15A-3P","MAP3K9"
"HSA-MIR-15A-5P","WNT3A"
"HSA-MIR-15A-5P","BDNF"
"HSA-MIR-15A-5P","KLF4"
"HSA-MIR-15B-5P","PEBP4"
"HSA-MIR-16-5P","BIRC5"
"HSA-MIR-16-5P","WNT3A"
"HSA-MIR-16-5P","SLC6A4"
"HSA-MIR-16-5P","BDNF"
"HSA-MIR-17-3P","GPX2"
"HSA-MIR-17-5P","BMPR2"
"HSA-MIR-17-5P","EPAS1"
"HSA-MIR-17-5P","EGR2"
"HSA-MIR-17-5P","BRCA2"
"HSA-MIR-17-5P","IGFBP3"
"HSA-MIR-181B-5P","SIX2"
"HSA-MIR-181C-5P","BMPR2"
"HSA-MIR-182-3P","MYADM"
"HSA-MIR-182-5P","BDNF"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-182-5P","CHEK2"
"HSA-MIR-184","SOX7"
"HSA-MIR-185-5P","MCM10"
"HSA-MIR-185-5P","EPAS1"
"HSA-MIR-185-5P","ARC"
"HSA-MIR-185-5P","TG"
"HSA-MIR-185-5P","DUSP4"
"HSA-MIR-186-5P","CSNK2A1"
"HSA-MIR-18A-5P","PIAS3"
"HSA-MIR-192-5P","MCM10"
"HSA-MIR-192-5P","CAV1"
"HSA-MIR-192-5P","HOXA10"
"HSA-MIR-193A-5P","NLN"
"HSA-MIR-195-5P","BIRC5"
"HSA-MIR-195-5P","MBD1"
"HSA-MIR-195-5P","RUNX2"
"HSA-MIR-196A-5P","HOXA10"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-197-3P","NSUN5"
"HSA-MIR-199A-3P","ITGA3"
"HSA-MIR-199A-5P","FZD4"
"HSA-MIR-199A-5P","PIAS3"
"HSA-MIR-199A-5P","CAV1"
"HSA-MIR-199A-5P","ITGA3"
"HSA-MIR-199B-3P","ITGA3"
"HSA-MIR-199B-5P","ITGA3"
"HSA-MIR-19A-3P","ADRB1"
"HSA-MIR-19A-3P","BMPR2"
"HSA-MIR-19B-1-5P","CASP8"
"HSA-MIR-19B-3P","BMPR2"
"HSA-MIR-200A-3P","DEK"
"HSA-MIR-200A-3P","CCNE2"
"HSA-MIR-200A-3P","MNX1"
"HSA-MIR-200A-3P","DLC1"
"HSA-MIR-200A-5P","SOX17"
"HSA-MIR-200B-3P","DNMT3B"
"HSA-MIR-200B-3P","CCNE2"
"HSA-MIR-200B-3P","DLC1"
"HSA-MIR-200C-3P","DNMT3B"
"HSA-MIR-200C-3P","TUBB3"
"HSA-MIR-200C-3P","CCNE2"
"HSA-MIR-200C-3P","NTRK2"
"HSA-MIR-200C-3P","DLC1"
"HSA-MIR-203A-3P","BIRC5"
"HSA-MIR-203A-3P","CAV1"
"HSA-MIR-203A-3P","LIFR"
"HSA-MIR-203A-3P","RUNX2"
"HSA-MIR-204-5P","MX1"
"HSA-MIR-204-5P","HOXA10"
"HSA-MIR-204-5P","ELOVL6"
"HSA-MIR-204-5P","NTRK2"
"HSA-MIR-204-5P","BDNF"
"HSA-MIR-204-5P","RUNX2"
"HSA-MIR-205-5P","RUNX2"
"HSA-MIR-20A-3P","EGR2"
"HSA-MIR-20A-3P","NR4A3"
"HSA-MIR-20A-5P","BMPR2"
"HSA-MIR-20A-5P","EPAS1"
"HSA-MIR-20A-5P","EGR2"
"HSA-MIR-21-5P","TCF21"
"HSA-MIR-21-5P","BMPR2"
"HSA-MIR-21-5P","PIAS3"
"HSA-MIR-21-5P","TGFBR3"
"HSA-MIR-21-5P","CASP8"
"HSA-MIR-21-5P","IRAK1"
"HSA-MIR-210-3P","BNIP3"
"HSA-MIR-210-3P","IGFBP3"
"HSA-MIR-210-3P","BDNF"
"HSA-MIR-211-5P","MX1"
"HSA-MIR-211-5P","ELOVL6"
"HSA-MIR-211-5P","CDH5"
"HSA-MIR-211-5P","MUC4"
