"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,79,1,0
"pos",1,1,1,1,1,"svm",1,1,1,125,2,1
"pos",1,1,1,1,1,"svm",1,1,1,157,3,2
"pos",1,1,1,1,1,"svm",1,1,1,172,4,3
"pos",1,1,1,1,1,"svm",1,1,1,173,5,4
"pos",1,1,1,1,1,"svm",1,1,1,273,6,5
"pos",1,1,1,1,1,"svm",1,1,1,481,7,6
"pos",1,1,1,1,1,"svm",1,1,1,545,8,7
"pos",1,1,1,1,1,"svm",1,1,1,546,9,8
"pos",1,1,1,1,1,"svm",1,1,1,554,10,9
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,205,1,0
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,221,2,1
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,260,3,2
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,332,4,3
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,334,5,4
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,368,6,5
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,376,7,6
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,377,8,7
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,378,9,8
"pos",1,0.6666666666666666,1,0.8,0.8,"svm",0.8571428571428571,0.6956521739130433,1,379,10,9
"pos",1,1,1,1,1,"svm",1,1,1,66,1,0
"pos",1,1,1,1,1,"svm",1,1,1,93,2,1
"pos",1,1,1,1,1,"svm",1,1,1,104,3,2
"pos",1,1,1,1,1,"svm",1,1,1,152,4,3
"pos",1,1,1,1,1,"svm",1,1,1,164,5,4
"pos",1,1,1,1,1,"svm",1,1,1,173,6,5
"pos",1,1,1,1,1,"svm",1,1,1,179,7,6
"pos",1,1,1,1,1,"svm",1,1,1,199,8,7
"pos",1,1,1,1,1,"svm",1,1,1,206,9,8
"pos",1,1,1,1,1,"svm",1,1,1,454,10,9
"pos",1,1,1,1,1,"svm",1,1,1,6,1,0
"pos",1,1,1,1,1,"svm",1,1,1,7,2,1
"pos",1,1,1,1,1,"svm",1,1,1,69,3,2
"pos",1,1,1,1,1,"svm",1,1,1,77,4,3
"pos",1,1,1,1,1,"svm",1,1,1,82,5,4
"pos",1,1,1,1,1,"svm",1,1,1,83,6,5
"pos",1,1,1,1,1,"svm",1,1,1,89,7,6
"pos",1,1,1,1,1,"svm",1,1,1,246,8,7
"pos",1,1,1,1,1,"svm",1,1,1,256,9,8
"pos",1,1,1,1,1,"svm",1,1,1,257,10,9
"pos",1,1,1,1,1,"svm",1,1,1,14,1,0
"pos",1,1,1,1,1,"svm",1,1,1,18,2,1
"pos",1,1,1,1,1,"svm",1,1,1,20,3,2
"pos",1,1,1,1,1,"svm",1,1,1,29,4,3
"pos",1,1,1,1,1,"svm",1,1,1,128,5,4
"pos",1,1,1,1,1,"svm",1,1,1,137,6,5
"pos",1,1,1,1,1,"svm",1,1,1,139,7,6
"pos",1,1,1,1,1,"svm",1,1,1,226,8,7
"pos",1,1,1,1,1,"svm",1,1,1,240,9,8
"pos",1,1,1,1,1,"svm",1,1,1,265,10,9
"pos",1,1,1,1,1,"svm",1,1,1,12,1,0
"pos",1,1,1,1,1,"svm",1,1,1,39,2,1
"pos",1,1,1,1,1,"svm",1,1,1,43,3,2
"pos",1,1,1,1,1,"svm",1,1,1,244,4,3
"pos",1,1,1,1,1,"svm",1,1,1,252,5,4
"pos",1,1,1,1,1,"svm",1,1,1,260,6,5
"pos",1,1,1,1,1,"svm",1,1,1,261,7,6
"pos",1,1,1,1,1,"svm",1,1,1,261,7,7
"pos",1,1,1,1,1,"svm",1,1,1,261,7,8
"pos",1,1,1,1,1,"svm",1,1,1,261,7,9
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8571428571428571,0.5882352941176469,1,4,1,0
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.8,28,2,1
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.9,32,3,2
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.9,160,4,3
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.9,240,5,4
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.9,257,6,5
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.9,266,7,6
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.8,270,8,7
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.8,273,9,8
"pos",0.5,0.5,0.5,0.8,0.5,"svm",0.7142857142857143,0.30000000000000004,0.8,274,10,9
"pos",1,1,1,1,1,"svm",1,1,1,13,1,0
"pos",1,1,1,1,1,"svm",1,1,1,64,2,1
