"Cluster","Gene"
"HSA-LET-7A-5P","PAK1"
"HSA-LET-7A-5P","IGF2BP1"
"HSA-LET-7A-5P","CDKN1A"
"HSA-LET-7A-5P","HMGA1"
"HSA-LET-7B-5P","IGF2BP1"
"HSA-LET-7B-5P","HMGA1"
"HSA-LET-7B-5P","CDC25A"
"HSA-LET-7B-5P","IGF2BP2"
"HSA-LET-7C-5P","CDC25A"
"HSA-LET-7E-5P","PLK1"
"HSA-LET-7F-5P","KLK10"
"HSA-LET-7F-5P","SOCS3"
"HSA-LET-7G-3P","CCL2"
"HSA-LET-7G-5P","DDR1"
"HSA-LET-7G-5P","IGF2BP1"
"HSA-LET-7G-5P","CDKN2A"
"HSA-MIR-1-3P","YWHAZ"
"HSA-MIR-1-3P","TKT"
"HSA-MIR-1-3P","SRXN1"
"HSA-MIR-1-3P","CCL2"
"HSA-MIR-1-3P","PRKCE"
"HSA-MIR-1-3P","TWIST1"
"HSA-MIR-1-3P","SOX9"
"HSA-MIR-1-3P","HSPD1"
"HSA-MIR-1-3P","MYOCD"
"HSA-MIR-100-5P","PLK1"
"HSA-MIR-100-5P","HOXA1"
"HSA-MIR-101-3P","ATG4D"
"HSA-MIR-101-3P","CDH5"
"HSA-MIR-101-3P","SOX9"
"HSA-MIR-101-5P","SOX9"
"HSA-MIR-103A-3P","SERPINB5"
"HSA-MIR-103A-3P","RAD51"
"HSA-MIR-105-5P","SOX9"
"HSA-MIR-106A-5P","CDKN1A"
"HSA-MIR-106B-5P","CDKN1A"
"HSA-MIR-106B-5P","TWIST1"
"HSA-MIR-107","PRKCE"
"HSA-MIR-107","SERPINB5"
"HSA-MIR-107","RAD51"
"HSA-MIR-10A-5P","HOXA1"
"HSA-MIR-10B-3P","PLK1"
"HSA-MIR-10B-5P","CDKN1A"
"HSA-MIR-10B-5P","SDC1"
"HSA-MIR-10B-5P","NR4A3"
"HSA-MIR-10B-5P","TFAP2C"
"HSA-MIR-10B-5P","CDKN2A"
"HSA-MIR-1181","SOX2"
"HSA-MIR-122-5P","EGLN3"
"HSA-MIR-122-5P","SLC7A11"
"HSA-MIR-122-5P","GYS1"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-1236-3P","KDR"
"HSA-MIR-124-3P","HMGA1"
"HSA-MIR-124-3P","CCL2"
"HSA-MIR-124-3P","GRIA1"
"HSA-MIR-124-3P","RAB38"
"HSA-MIR-124-5P","NR4A1"
"HSA-MIR-1247-5P","SOX9"
"HSA-MIR-125A-5P","CD34"
"HSA-MIR-125A-5P","CDKN1A"
"HSA-MIR-125B-5P","HMGA1"
"HSA-MIR-125B-5P","CDH5"
"HSA-MIR-125B-5P","SMO"
"HSA-MIR-125B-5P","EIF5A2"
"HSA-MIR-125B-5P","CDKN2A"
"HSA-MIR-125B-5P","FZD6"
"HSA-MIR-126-3P","IGFBP2"
"HSA-MIR-126-3P","SOX2"
"HSA-MIR-128-3P","SOX2"
"HSA-MIR-128-3P","NEK2"
"HSA-MIR-129-5P","NR4A2"
"HSA-MIR-129-5P","IGF2BP3"
"HSA-MIR-129-5P","TWIST1"
"HSA-MIR-1291","SLC2A1"
"HSA-MIR-1297","HMGA1"
"HSA-MIR-1303","CLDN18"
"HSA-MIR-130A-3P","HOXA10"
"HSA-MIR-132-3P","SLC2A1"
"HSA-MIR-132-3P","CDKN1A"
"HSA-MIR-132-3P","CCNB1"
"HSA-MIR-133A-3P","SGMS2"
"HSA-MIR-133A-3P","FOXL2"
"HSA-MIR-133B","FOXL2"
"HSA-MIR-135A-5P","DAPK2"
"HSA-MIR-135A-5P","HOXA10"
"HSA-MIR-135A-5P","SLC6A4"
"HSA-MIR-137","BMP7"
"HSA-MIR-137","CSE1L"
"HSA-MIR-137","MSI1"
"HSA-MIR-138-5P","SOX9"
"HSA-MIR-139-5P","NR5A2"
"HSA-MIR-139-5P","FAM162A"
"HSA-MIR-140-5P","SOX2"
"HSA-MIR-140-5P","SOX9"
"HSA-MIR-140-5P","FZD6"
"HSA-MIR-141-3P","KEAP1"
"HSA-MIR-141-3P","TFDP2"
"HSA-MIR-141-3P","CDC25A"
"HSA-MIR-141-3P","NR0B2"
"HSA-MIR-141-5P","KEAP1"
"HSA-MIR-142-3P","HMGA1"
"HSA-MIR-142-3P","HOXA10"
"HSA-MIR-142-3P","HOXA7"
"HSA-MIR-143-3P","DTNB"
"HSA-MIR-143-3P","SDC1"
"HSA-MIR-143-3P","FAM83F"
"HSA-MIR-144-3P","ADAMTS1"
"HSA-MIR-145-5P","EPAS1"
"HSA-MIR-145-5P","SPTBN1"
"HSA-MIR-145-5P","CDKN1A"
"HSA-MIR-145-5P","NUDT1"
"HSA-MIR-145-5P","MMP12"
"HSA-MIR-145-5P","SOX2"
"HSA-MIR-145-5P","SOX9"
"HSA-MIR-145-5P","AKR1B10"
"HSA-MIR-145-5P","MYOCD"
"HSA-MIR-146A-3P","PTTG1"
"HSA-MIR-146A-5P","CDKN1A"
"HSA-MIR-146A-5P","PRKCE"
"HSA-MIR-146A-5P","SOX2"
"HSA-MIR-146B-5P","CDKN1A"
"HSA-MIR-148B-3P","SLC2A1"
"HSA-MIR-149-3P","MYBL2"
"HSA-MIR-150-5P","SLC2A1"
"HSA-MIR-151A-3P","TWIST1"
"HSA-MIR-151A-5P","SOX17"
"HSA-MIR-155-5P","YWHAZ"
"HSA-MIR-155-5P","MCM8"
"HSA-MIR-155-5P","MSH6"
"HSA-MIR-155-5P","EXOSC2"
"HSA-MIR-155-5P","RAD51"
"HSA-MIR-155-5P","PCDH9"
"HSA-MIR-15A-3P","TWIST1"
"HSA-MIR-15A-5P","HMGA1"
"HSA-MIR-15A-5P","CDC25A"
"HSA-MIR-15B-5P","KDR"
"HSA-MIR-15B-5P","PEBP4"
"HSA-MIR-15B-5P","TRIM29"
"HSA-MIR-15B-5P","SOCS3"
"HSA-MIR-16-1-3P","TWIST1"
"HSA-MIR-16-5P","KDR"
"HSA-MIR-16-5P","CLDN2"
"HSA-MIR-16-5P","HMGA1"
"HSA-MIR-16-5P","SLC6A4"
"HSA-MIR-16-5P","SOCS3"
"HSA-MIR-16-5P","UNG"
"HSA-MIR-17-3P","KDR"
"HSA-MIR-17-3P","GPX2"
"HSA-MIR-17-5P","EPAS1"
"HSA-MIR-17-5P","UBE2C"
"HSA-MIR-17-5P","CDKN1A"
"HSA-MIR-181A-5P","CDKN1A"
"HSA-MIR-181A-5P","TWIST1"
"HSA-MIR-181B-5P","VSNL1"
"HSA-MIR-182-5P","CDKN1A"
"HSA-MIR-182-5P","NDRG1"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-182-5P","PLD1"
"HSA-MIR-182-5P","CHEK2"
"HSA-MIR-183-5P","NFIL3"
"HSA-MIR-185-5P","MCM10"
"HSA-MIR-185-5P","EPAS1"
"HSA-MIR-185-5P","HMGA1"
"HSA-MIR-185-5P","TRIM29"
"HSA-MIR-186-5P","PTTG1"
"HSA-MIR-186-5P","TWIST1"
"HSA-MIR-187-3P","CRMP1"
"HSA-MIR-18A-5P","BCL2L10"
"HSA-MIR-190A-5P","KCNQ5"
"HSA-MIR-192-5P","SMARCB1"
"HSA-MIR-192-5P","MCM10"
"HSA-MIR-192-5P","HOXA10"
"HSA-MIR-193A-5P","IGF2BP1"
"HSA-MIR-193B-3P","YWHAZ"
"HSA-MIR-193B-3P","RAD51"
"HSA-MIR-195-5P","KDR"
"HSA-MIR-195-5P","HMGA1"
"HSA-MIR-195-5P","CDC25A"
"HSA-MIR-196A-5P","HOXC8"
"HSA-MIR-196A-5P","CDKN1A"
"HSA-MIR-196A-5P","HMGA1"
"HSA-MIR-196A-5P","HOXA10"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","HOXA7"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196A-5P","KRT5"
"HSA-MIR-196B-5P","HOXC8"
"HSA-MIR-196B-5P","IGF2BP1"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-199A-3P","KDR"
"HSA-MIR-199A-5P","DDR1"
"HSA-MIR-199A-5P","RND1"
"HSA-MIR-199A-5P","TMEM54"
"HSA-MIR-199A-5P","UNG"
"HSA-MIR-199A-5P","FZD6"
"HSA-MIR-199B-5P","DDR1"
"HSA-MIR-19A-3P","NR4A2"
"HSA-MIR-19A-3P","SOCS3"
"HSA-MIR-19B-1-5P","KDR"
"HSA-MIR-200A-3P","KEAP1"
"HSA-MIR-200A-5P","SOX17"
"HSA-MIR-200B-3P","KDR"
"HSA-MIR-200C-3P","KDR"
"HSA-MIR-200C-3P","HNF1B"
"HSA-MIR-200C-3P","LEPR"
"HSA-MIR-203A-3P","SOCS3"
"HSA-MIR-203A-5P","CDKN1A"
"HSA-MIR-204-5P","IGFBP2"
"HSA-MIR-204-5P","HOXA10"
"HSA-MIR-206","TKT"
"HSA-MIR-206","CCL2"
"HSA-MIR-206","NR4A2"
"HSA-MIR-206","TWIST1"
"HSA-MIR-206","SOX9"
"HSA-MIR-208A-3P","CDKN1A"
"HSA-MIR-208B-3P","CDKN1A"
"HSA-MIR-20A-3P","NR4A3"
"HSA-MIR-20A-3P","SMO"
"HSA-MIR-20A-5P","EGLN3"
"HSA-MIR-20A-5P","EPAS1"
"HSA-MIR-20A-5P","UBE2C"
"HSA-MIR-20A-5P","CDKN1A"
"HSA-MIR-20B-5P","CDKN1A"
"HSA-MIR-20B-5P","FZD6"
"HSA-MIR-21-3P","HPGD"
"HSA-MIR-21-5P","HPGD"
"HSA-MIR-21-5P","MTAP"
"HSA-MIR-21-5P","MSH6"
"HSA-MIR-21-5P","CDC25A"
"HSA-MIR-21-5P","SOX2"
"HSA-MIR-21-5P","SERPINB5"
"HSA-MIR-21-5P","FZD6"
"HSA-MIR-210-3P","PLK1"
"HSA-MIR-210-3P","KCMF1"
"HSA-MIR-210-3P","TWIST1"
"HSA-MIR-210-3P","HOXA1"
"HSA-MIR-211-5P","CDH5"
"HSA-MIR-212-3P","CCNB1"
"HSA-MIR-214-3P","TWIST1"
"HSA-MIR-214-3P","ASF1B"
"HSA-MIR-217","NR4A2"
"HSA-MIR-218-5P","SMO"
"HSA-MIR-22-3P","SLC2A1"
"HSA-MIR-22-3P","CDKN1A"
"HSA-MIR-22-3P","BMP7"
"HSA-MIR-22-3P","PLK1"
"HSA-MIR-22-5P","YWHAZ"
"HSA-MIR-221-3P","PAK1"
