"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,6,1,0
"pos",1,1,1,1,1,"svm",1,1,1,79,2,1
"pos",1,1,1,1,1,"svm",1,1,1,114,3,2
"pos",1,1,1,1,1,"svm",1,1,1,146,4,3
"pos",1,1,1,1,1,"svm",1,1,1,165,5,4
"pos",1,1,1,1,1,"svm",1,1,1,169,6,5
"pos",1,1,1,1,1,"svm",1,1,1,181,7,6
"pos",1,1,1,1,1,"svm",1,1,1,209,8,7
"pos",1,1,1,1,1,"svm",1,1,1,211,9,8
"pos",1,1,1,1,1,"svm",1,1,1,271,10,9
"pos",1,1,1,1,1,"svm",1,1,1,2,1,0
"pos",1,1,1,1,1,"svm",1,1,1,3,2,1
"pos",1,1,1,1,1,"svm",1,1,1,26,3,2
"pos",1,1,1,1,1,"svm",1,1,1,44,4,3
"pos",1,1,1,1,1,"svm",1,1,1,67,5,4
"pos",1,1,1,1,1,"svm",1,1,1,233,6,5
"pos",1,1,1,1,1,"svm",1,1,1,289,7,6
"pos",1,1,1,1,1,"svm",1,1,1,293,8,7
"pos",1,1,1,1,1,"svm",1,1,1,303,9,8
"pos",1,1,1,1,1,"svm",1,1,1,313,10,9
"pos",1,1,1,1,1,"svm",1,1,1,23,1,0
"pos",1,1,1,1,1,"svm",1,1,1,133,2,1
"pos",1,1,1,1,1,"svm",1,1,1,139,3,2
"pos",1,1,1,1,1,"svm",1,1,1,140,4,3
"pos",1,1,1,1,1,"svm",1,1,1,156,5,4
"pos",1,1,1,1,1,"svm",1,1,1,163,6,5
"pos",1,1,1,1,1,"svm",1,1,1,167,7,6
"pos",1,1,1,1,1,"svm",1,1,1,211,8,7
"pos",1,1,1,1,1,"svm",1,1,1,275,9,8
"pos",1,1,1,1,1,"svm",1,1,1,450,10,9
"pos",1,1,1,1,1,"svm",1,1,1,15,1,0
"pos",1,1,1,1,1,"svm",1,1,1,17,2,1
"pos",1,1,1,1,1,"svm",1,1,1,29,3,2
"pos",1,1,1,1,1,"svm",1,1,1,50,4,3
"pos",1,1,1,1,1,"svm",1,1,1,59,5,4
"pos",1,1,1,1,1,"svm",1,1,1,181,6,5
"pos",1,1,1,1,1,"svm",1,1,1,208,7,6
"pos",1,1,1,1,1,"svm",1,1,1,370,8,7
"pos",1,1,1,1,1,"svm",1,1,1,377,9,8
"pos",1,1,1,1,1,"svm",1,1,1,432,10,9
"pos",1,1,1,1,1,"svm",1,1,1,29,1,0
"pos",1,1,1,1,1,"svm",1,1,1,40,2,1
"pos",1,1,1,1,1,"svm",1,1,1,60,3,2
"pos",1,1,1,1,1,"svm",1,1,1,91,4,3
"pos",1,1,1,1,1,"svm",1,1,1,153,5,4
"pos",1,1,1,1,1,"svm",1,1,1,187,6,5
"pos",1,1,1,1,1,"svm",1,1,1,268,7,6
"pos",1,1,1,1,1,"svm",1,1,1,297,8,7
"pos",1,1,1,1,1,"svm",1,1,1,300,9,8
"pos",1,1,1,1,1,"svm",1,1,1,304,10,9
"pos",1,1,1,1,1,"svm",1,1,1,44,1,0
"pos",1,1,1,1,1,"svm",1,1,1,140,2,1
"pos",1,1,1,1,1,"svm",1,1,1,272,3,2
"pos",1,1,1,1,1,"svm",1,1,1,274,4,3
"pos",1,1,1,1,1,"svm",1,1,1,292,5,4
"pos",1,1,1,1,1,"svm",1,1,1,327,6,5
"pos",1,1,1,1,1,"svm",1,1,1,347,7,6
"pos",1,1,1,1,1,"svm",1,1,1,477,8,7
"pos",1,1,1,1,1,"svm",1,1,1,591,9,8
"pos",1,1,1,1,1,"svm",1,1,1,625,10,9
"pos",1,1,1,1,1,"svm",1,1,1,2,1,0
"pos",1,1,1,1,1,"svm",1,1,1,34,2,1
"pos",1,1,1,1,1,"svm",1,1,1,38,3,2
"pos",1,1,1,1,1,"svm",1,1,1,60,4,3
"pos",1,1,1,1,1,"svm",1,1,1,65,5,4
"pos",1,1,1,1,1,"svm",1,1,1,115,6,5
"pos",1,1,1,1,1,"svm",1,1,1,135,7,6
"pos",1,1,1,1,1,"svm",1,1,1,219,8,7
"pos",1,1,1,1,1,"svm",1,1,1,236,9,8
"pos",1,1,1,1,1,"svm",1,1,1,299,10,9
"pos",1,1,1,1,1,"svm",1,1,1,1,1,0
"pos",1,1,1,1,1,"svm",1,1,1,7,2,1
"pos",1,1,1,1,1,"svm",1,1,1,110,3,2
"pos",1,1,1,1,1,"svm",1,1,1,112,4,3
"pos",1,1,1,1,1,"svm",1,1,1,114,5,4
"pos",1,1,1,1,1,"svm",1,1,1,144,6,5
"pos",1,1,1,1,1,"svm",1,1,1,171,7,6
"pos",1,1,1,1,1,"svm",1,1,1,265,8,7
"pos",1,1,1,1,1,"svm",1,1,1,423,9,8
"pos",1,1,1,1,1,"svm",1,1,1,561,10,9
"pos",1,1,1,1,1,"svm",1,1,1,51,1,0
"pos",1,1,1,1,1,"svm",1,1,1,68,2,1
"pos",1,1,1,1,1,"svm",1,1,1,214,3,2
"pos",1,1,1,1,1,"svm",1,1,1,353,4,3
"pos",1,1,1,1,1,"svm",1,1,1,365,5,4
"pos",1,1,1,1,1,"svm",1,1,1,480,6,5
"pos",1,1,1,1,1,"svm",1,1,1,488,7,6
"pos",1,1,1,1,1,"svm",1,1,1,545,8,7
"pos",1,1,1,1,1,"svm",1,1,1,595,9,8
"pos",1,1,1,1,1,"svm",1,1,1,732,10,9
"pos",1,1,1,1,1,"svm",1,1,1,39,1,0
"pos",1,1,1,1,1,"svm",1,1,1,87,2,1
"pos",1,1,1,1,1,"svm",1,1,1,221,3,2
"pos",1,1,1,1,1,"svm",1,1,1,307,4,3
"pos",1,1,1,1,1,"svm",1,1,1,359,5,4
"pos",1,1,1,1,1,"svm",1,1,1,407,6,5
"pos",1,1,1,1,1,"svm",1,1,1,411,7,6
"pos",1,1,1,1,1,"svm",1,1,1,413,8,7
"pos",1,1,1,1,1,"svm",1,1,1,496,9,8
"pos",1,1,1,1,1,"svm",1,1,1,585,10,9
"pos",1,1,1,1,1,"svm",1,1,1,8,1,0
"pos",1,1,1,1,1,"svm",1,1,1,15,2,1
"pos",1,1,1,1,1,"svm",1,1,1,66,3,2
"pos",1,1,1,1,1,"svm",1,1,1,120,4,3
"pos",1,1,1,1,1,"svm",1,1,1,131,5,4
"pos",1,1,1,1,1,"svm",1,1,1,152,6,5
"pos",1,1,1,1,1,"svm",1,1,1,167,7,6
"pos",1,1,1,1,1,"svm",1,1,1,168,8,7
"pos",1,1,1,1,1,"svm",1,1,1,213,9,8
"pos",1,1,1,1,1,"svm",1,1,1,226,10,9
"pos",1,1,1,1,1,"svm",1,1,1,20,1,0
"pos",1,1,1,1,1,"svm",1,1,1,48,2,1
"pos",1,1,1,1,1,"svm",1,1,1,52,3,2
"pos",1,1,1,1,1,"svm",1,1,1,135,4,3
"pos",1,1,1,1,1,"svm",1,1,1,185,5,4
"pos",1,1,1,1,1,"svm",1,1,1,194,6,5
"pos",1,1,1,1,1,"svm",1,1,1,197,7,6
"pos",1,1,1,1,1,"svm",1,1,1,248,8,7
"pos",1,1,1,1,1,"svm",1,1,1,265,9,8
"pos",1,1,1,1,1,"svm",1,1,1,275,10,9
"pos",1,1,1,1,1,"svm",1,1,1,19,1,0
"pos",1,1,1,1,1,"svm",1,1,1,99,2,1
"pos",1,1,1,1,1,"svm",1,1,1,206,3,2
"pos",1,1,1,1,1,"svm",1,1,1,226,4,3
"pos",1,1,1,1,1,"svm",1,1,1,335,5,4
"pos",1,1,1,1,1,"svm",1,1,1,350,6,5
"pos",1,1,1,1,1,"svm",1,1,1,361,7,6
"pos",1,1,1,1,1,"svm",1,1,1,382,8,7
"pos",1,1,1,1,1,"svm",1,1,1,386,9,8
"pos",1,1,1,1,1,"svm",1,1,1,430,10,9
"pos",1,0.8,1,0.875,0.888888888888889,"svm",0.9166666666666666,0.8235294117647058,1,1,1,0
"pos",1,1,1,1,1,"svm",1,1,1,57,2,1
"pos",1,1,1,1,1,"svm",1,1,1,66,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,107,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,110,5,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,139,6,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,0.984375,181,7,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,251,8,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,266,9,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,281,10,9
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8333333333333334,0.5714285714285715,1,36,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,195,2,1
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,312,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,320,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,336,5,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9166666666666666,0.7999999999999999,1,416,6,5
