"Cluster","Gene"
"HSA-LET-7A-3P","CCND2"
"HSA-LET-7A-5P","CCND2"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7B-5P","CCND2"
"HSA-LET-7B-5P","CPEB1"
"HSA-MIR-1-3P","TWF1"
"HSA-MIR-1-3P","SLC8A1"
"HSA-MIR-1-3P","MYOCD"
"HSA-MIR-101-3P","NOTCH1"
"HSA-MIR-101-3P","CPEB1"
"HSA-MIR-101-3P","PTGS2"
"HSA-MIR-101-3P","ZEB2"
"HSA-MIR-101-5P","TLR2"
"HSA-MIR-103A-3P","SNCG"
"HSA-MIR-103A-3P","CAV1"
"HSA-MIR-103A-3P","OLFM4"
"HSA-MIR-105-5P","TLR2"
"HSA-MIR-106B-5P","CCND2"
"HSA-MIR-107","SNCG"
"HSA-MIR-107","CPEB1"
"HSA-MIR-107","CAV1"
"HSA-MIR-107","PLAG1"
"HSA-MIR-10B-5P","NOTCH1"
"HSA-MIR-10B-5P","HOXB3"
"HSA-MIR-10B-5P","TPM1"
"HSA-MIR-122-5P","EGLN3"
"HSA-MIR-122-5P","ANK2"
"HSA-MIR-122-5P","IL1A"
"HSA-MIR-122-5P","DUSP2"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-124-3P","CCND2"
"HSA-MIR-124-3P","CAV1"
"HSA-MIR-124-3P","RAB38"
"HSA-MIR-124-3P","GRIA2"
"HSA-MIR-125B-5P","NES"
"HSA-MIR-125B-5P","SFRP5"
"HSA-MIR-125B-5P","SCNN1A"
"HSA-MIR-126-3P","TWF1"
"HSA-MIR-126-3P","PGR"
"HSA-MIR-128-1-5P","WNT3A"
"HSA-MIR-128-3P","PIK3R1"
"HSA-MIR-129-5P","NOTCH1"
"HSA-MIR-132-3P","SOX5"
"HSA-MIR-133A-3P","PRDM16"
"HSA-MIR-133A-3P","KCNQ1"
"HSA-MIR-133A-3P","GSTP1"
"HSA-MIR-133B","PRDM16"
"HSA-MIR-133B","ERG"
"HSA-MIR-133B","GSTP1"
"HSA-MIR-133B","FAIM"
"HSA-MIR-135B-5P","RECK"
"HSA-MIR-137","PTGS2"
"HSA-MIR-138-1-3P","ZEB2"
"HSA-MIR-138-5P","FERMT2"
"HSA-MIR-138-5P","TWIST2"
"HSA-MIR-138-5P","ZEB2"
"HSA-MIR-139-5P","NOTCH1"
"HSA-MIR-139-5P","ACTC1"
"HSA-MIR-141-3P","HOXB5"
"HSA-MIR-141-3P","NR0B2"
"HSA-MIR-141-3P","ZEB2"
"HSA-MIR-142-3P","IL1A"
"HSA-MIR-142-3P","LGR5"
"HSA-MIR-142-3P","ABCG2"
"HSA-MIR-142-5P","CLDN1"
"HSA-MIR-143-3P","PTGS2"
"HSA-MIR-143-3P","TLR2"
"HSA-MIR-144-3P","NOTCH1"
"HSA-MIR-144-3P","PLAG1"
"HSA-MIR-144-3P","PTGS2"
"HSA-MIR-144-3P","ZEB2"
"HSA-MIR-145-3P","MMP16"
"HSA-MIR-145-5P","ROBO2"
"HSA-MIR-145-5P","NDRG2"
"HSA-MIR-145-5P","ERG"
"HSA-MIR-145-5P","MYOCD"
"HSA-MIR-146A-5P","NOS1"
"HSA-MIR-146A-5P","CCND2"
"HSA-MIR-146A-5P","NOTCH1"
"HSA-MIR-146A-5P","PTGS2"
"HSA-MIR-146A-5P","TLR2"
"HSA-MIR-146B-5P","MMP16"
"HSA-MIR-146B-5P","PAX8"
"HSA-MIR-147A","HIF3A"
"HSA-MIR-149-5P","PTGER2"
"HSA-MIR-150-5P","CISH"
"HSA-MIR-150-5P","COL4A4"
"HSA-MIR-153-3P","ZEB2"
"HSA-MIR-153-5P","ZEB2"
"HSA-MIR-154-5P","CCND2"
"HSA-MIR-154-5P","ZEB2"
"HSA-MIR-154-5P","TLR2"
"HSA-MIR-155-5P","CCND2"
"HSA-MIR-155-5P","MMP16"
"HSA-MIR-155-5P","GATM"
"HSA-MIR-155-5P","RAB11FIP2"
"HSA-MIR-155-5P","FGF7"
"HSA-MIR-155-5P","CLDN1"
"HSA-MIR-155-5P","MYLK"
"HSA-MIR-155-5P","PIK3R1"
"HSA-MIR-15A-5P","CCND2"
"HSA-MIR-15A-5P","SOX5"
"HSA-MIR-15A-5P","WNT3A"
"HSA-MIR-15A-5P","FGF7"
"HSA-MIR-15A-5P","CHEK1"
"HSA-MIR-15A-5P","RECK"
"HSA-MIR-15B-3P","RECK"
"HSA-MIR-15B-5P","FUT2"
"HSA-MIR-15B-5P","CHEK1"
"HSA-MIR-15B-5P","RECK"
"HSA-MIR-16-1-3P","CCND2"
"HSA-MIR-16-5P","CCND2"
"HSA-MIR-16-5P","CLDN2"
"HSA-MIR-16-5P","SOX5"
"HSA-MIR-16-5P","WNT3A"
"HSA-MIR-16-5P","CHEK1"
"HSA-MIR-16-5P","PTGS2"
"HSA-MIR-16-5P","RECK"
"HSA-MIR-17-5P","CCND2"
"HSA-MIR-17-5P","CLU"
"HSA-MIR-181A-5P","NOTCH1"
"HSA-MIR-181A-5P","DDIT4"
"HSA-MIR-181A-5P","PGR"
"HSA-MIR-181A-5P","PLAG1"
"HSA-MIR-181A-5P","WIF1"
"HSA-MIR-181A-5P","ABCG2"
"HSA-MIR-181B-5P","PLAG1"
"HSA-MIR-181B-5P","VSNL1"
"HSA-MIR-181B-5P","SIX2"
"HSA-MIR-181B-5P","GRIA2"
"HSA-MIR-181C-5P","NDRG2"
"HSA-MIR-182-5P","CCND2"
"HSA-MIR-182-5P","FOXF2"
"HSA-MIR-182-5P","LRRC4"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-182-5P","RECK"
"HSA-MIR-183-5P","RECK"
"HSA-MIR-184","SOX7"
"HSA-MIR-184","PRKCB"
"HSA-MIR-185-5P","ABCG4"
"HSA-MIR-185-5P","SLC9A1"
"HSA-MIR-185-5P","DUSP4"
"HSA-MIR-185-5P","CAMK4"
"HSA-MIR-185-5P","SLC8A1"
"HSA-MIR-1908-5P","APOE"
"HSA-MIR-190A-5P","KCNQ5"
"HSA-MIR-191-5P","CCND2"
"HSA-MIR-191-5P","IL1A"
"HSA-MIR-192-5P","ATP1B1"
"HSA-MIR-192-5P","CAV1"
"HSA-MIR-194-5P","ITSN1"
"HSA-MIR-194-5P","SOX5"
"HSA-MIR-195-5P","CHEK1"
"HSA-MIR-195-5P","WNT7A"
"HSA-MIR-196A-5P","HOXD8"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","HOXB8"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-196B-5P","HOXB8"
"HSA-MIR-197-3P","CD82"
"HSA-MIR-198","CCND2"
"HSA-MIR-199A-3P","APOE"
"HSA-MIR-199A-3P","PTGS2"
"HSA-MIR-199A-5P","APOE"
"HSA-MIR-199A-5P","CAV1"
"HSA-MIR-199A-5P","PTGS2"
"HSA-MIR-199A-5P","WNT2"
"HSA-MIR-19A-3P","TLR2"
"HSA-MIR-19B-3P","PITX1"
"HSA-MIR-19B-3P","TLR2"
"HSA-MIR-200A-3P","HOXB5"
