"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.9454545454545454,5,1,0
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.9454545454545454,43,2,1
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.9454545454545455,46,3,2
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.9454545454545454,48,4,3
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.8909090909090909,87,5,4
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.8999999999999999,106,6,5
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.8999999999999999,108,7,6
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.8999999999999999,112,8,7
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.8999999999999999,113,9,8
"pos",0.4,1,0.4,1,0.5714285714285715,"svm",0.8125,0.4782608695652174,0.8999999999999999,114,10,9
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9727272727272727,17,1,0
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,21,2,1
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9818181818181818,35,3,2
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,98,4,3
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,106,5,4
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,107,6,5
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,108,7,6
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,109,8,7
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,109,8,8
"pos",0.8,1,0.8,1,0.888888888888889,"svm",0.9375,0.8461538461538461,0.9818181818181818,109,8,9
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.8545454545454545,6,1,0
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.9,12,2,1
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.9090909090909091,18,3,2
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.9090909090909091,20,4,3
"pos",0.6,0.6,0.6,0.8181818181818182,0.6,"svm",0.75,0.41818181818181815,0.8727272727272728,26,5,4
"pos",0.6,0.6,0.6,0.8181818181818182,0.6,"svm",0.75,0.41818181818181815,0.8727272727272728,27,6,5
"pos",0.6,0.6,0.6,0.8181818181818182,0.6,"svm",0.75,0.41818181818181815,0.8727272727272728,30,7,6
"pos",0.6,0.6,0.6,0.8181818181818182,0.6,"svm",0.75,0.41818181818181815,0.8727272727272728,30,7,7
"pos",0.6,0.6,0.6,0.8181818181818182,0.6,"svm",0.75,0.41818181818181815,0.8727272727272728,30,7,8
"pos",0.6,0.6,0.6,0.8181818181818182,0.6,"svm",0.75,0.41818181818181815,0.8727272727272728,30,7,9
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.8363636363636364,5,1,0
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9090909090909091,30,2,1
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.890909090909091,38,3,2
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9090909090909091,62,4,3
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9090909090909091,63,5,4
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9090909090909091,84,6,5
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9090909090909091,85,7,6
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9090909090909091,86,8,7
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9090909090909091,87,9,8
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9090909090909091,87,9,9
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727272,14,1,0
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727272,16,2,1
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727272,18,3,2
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9090909090909091,22,4,3
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727272,51,5,4
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9,83,6,5
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727274,105,7,6
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727274,106,8,7
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727274,107,9,8
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9272727272727274,107,9,9
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9454545454545454,3,1,0
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9454545454545454,4,2,1
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,1,23,3,2
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,36,4,3
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,1,44,5,4
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,1,62,6,5
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,1,66,7,6
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,1,71,8,7
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,1,73,9,8
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,1,79,10,9
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.9272727272727272,1,1,0
"pos",0.8,0.5714285714285714,0.8,0.7272727272727273,0.6666666666666666,"svm",0.75,0.47540983606557374,0.8636363636363636,3,2,1
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,2
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,3
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,4
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,5
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,6
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,7
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,8
"pos",1,0.625,1,0.7272727272727273,0.7692307692307693,"svm",0.8125,0.625,0.8727272727272727,5,3,9
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.8818181818181818,4,1,0
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9181818181818182,10,2,1
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9272727272727272,23,3,2
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9181818181818182,46,4,3
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.9090909090909091,58,5,4
"pos",0.8,0.6666666666666666,0.8,0.8181818181818182,0.7272727272727272,"svm",0.8125,0.5862068965517241,0.9090909090909091,65,6,5
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9272727272727272,104,7,6
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9272727272727272,105,8,7
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9272727272727272,106,9,8
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,0.9272727272727272,106,9,9
"pos",0.8,0.8,0.8,0.9090909090909091,0.8000000000000002,"svm",0.875,0.7090909090909091,0.9727272727272727,3,1,0
"pos",1,0.7142857142857143,1,0.8181818181818182,0.8333333333333333,"svm",0.875,0.7377049180327869,0.9818181818181818,11,2,1
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,23,3,2
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,38,4,3
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,48,5,4
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,52,6,5
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,53,7,6
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,53,7,7
"pos",1,0.8333333333333334,1,0.9090909090909091,0.9090909090909091,"svm",0.9375,0.8620689655172413,1,53,7,8
