"miRNA","gene","corr"
"hsa-miR-140-5p","Empty 0",
"hsa-miR-30b-5p","Empty 0",
"hsa-miR-708-3p","Empty 0",
"hsa-miR-582-5p","Empty 0",
"hsa-let-7a-3p","Empty 0",
"hsa-miR-204-5p","Empty 0",
"hsa-miR-1287","Empty 0",
"hsa-miR-532-3p","Empty 0",
"hsa-miR-500a-3p","Empty 0",
"hsa-miR-181c-5p","Empty 0",
"hsa-miR-101-5p","Empty 0",
"hsa-miR-20b-5p","Empty 0",
"hsa-miR-32-5p","Empty 0",
"hsa-miR-425-3p","Empty 0",
"hsa-miR-181a-3p","Empty 0",
"hsa-miR-222-3p","Empty 0",
"hsa-miR-1976","Empty 0",
"hsa-miR-361-5p","Empty 0",
"hsa-miR-221-3p","Empty 0",
"hsa-let-7g-3p","Empty 0",
"hsa-miR-9-5p","Empty 0",
"hsa-miR-365a-3p","Empty 0",
"hsa-miR-96-5p","STOX2",-0.6148136607349843
"hsa-miR-96-5p","FRMD6",-0.6142292083650266
"hsa-miR-96-5p","MTMR8",-0.6002076916737433
"hsa-miR-146b-3p","Empty 0",
"hsa-miR-574-3p","Empty 0",
"hsa-let-7d-5p","Empty 0",
"hsa-miR-769-5p","Empty 0",
"hsa-miR-423-3p","Empty 0",
"hsa-miR-342-3p","Empty 0",
"hsa-miR-145-3p","TARBP1",-0.6181987083333813
"hsa-miR-145-3p","DNAH14",-0.613633603367169
"hsa-miR-340-5p","Empty 0",
"hsa-miR-486-5p","Empty 0",
"hsa-miR-200b-3p","Empty 0",
"hsa-miR-361-3p","Empty 0",
"hsa-miR-99b-5p","Empty 0",
"hsa-miR-192-5p","Empty 0",
"hsa-let-7g-5p","Empty 0",
"hsa-miR-210","Empty 0",
"hsa-miR-25-3p","TMLHE",-0.6250585496100701
"hsa-miR-25-3p","STOX2",-0.6270754167086295
"hsa-miR-25-3p","ARHGAP20",-0.6078057698556789
"hsa-miR-25-3p","MTMR8",-0.6157391221497208
"hsa-miR-142-3p","Empty 0",
"hsa-miR-15b-3p","Empty 0",
"hsa-miR-744-5p","Empty 0",
"hsa-miR-589-5p","Empty 0",
"hsa-miR-30c-2-3p","Empty 0",
"hsa-miR-320a","Empty 0",
"hsa-miR-451a","Empty 0",
"hsa-miR-141-3p","Empty 0",
"hsa-miR-191-5p","Empty 0",
"hsa-miR-363-3p","Empty 0",
"hsa-miR-324-3p","Empty 0",
"hsa-miR-590-5p","Empty 0",
"hsa-miR-1468","Empty 0",
"hsa-miR-148a-5p","Empty 0",
"hsa-miR-378c","Empty 0",
"hsa-miR-182-5p","TMLHE",-0.6092125301666035
"hsa-miR-182-5p","MTMR8",-0.6054340774132471
"hsa-miR-505-3p","Empty 0",
"hsa-miR-148a-3p","FRMD6",-0.6169451217944563
"hsa-miR-338-3p","Empty 0",
"hsa-miR-28-5p","Empty 0",
"hsa-miR-28-3p","Empty 0",
"hsa-miR-330-5p","Empty 0",
"hsa-miR-532-5p","Empty 0",
"hsa-miR-26b-5p","Empty 0",
"hsa-miR-139-3p","Empty 0",
"hsa-let-7i-5p","Empty 0",
"hsa-miR-181a-5p","Empty 0",
"hsa-miR-425-5p","Empty 0",
"hsa-miR-889","Empty 0",
"hsa-miR-106b-5p","Empty 0",
"hsa-miR-660-5p","Empty 0",
"hsa-miR-130b-3p","Empty 0",
"hsa-miR-199a-5p","Empty 0",
"hsa-miR-144-5p","Empty 0",
"hsa-miR-20a-5p","Empty 0",
"hsa-let-7b-5p","Empty 0",
"hsa-miR-378a-5p","Empty 0",
"hsa-miR-106a-5p","Empty 0",
"hsa-miR-146b-5p","Empty 0",
"hsa-miR-378a-3p","Empty 0",
"hsa-miR-1296","Empty 0",
"hsa-miR-142-5p","Empty 0",
"hsa-miR-339-5p","Empty 0",
"hsa-miR-10b-5p","Empty 0",
"hsa-miR-98-5p","Empty 0",
"hsa-miR-1","Empty 0",
"hsa-miR-136-3p","Empty 0",
"hsa-miR-15b-5p","Empty 0",
"hsa-miR-29a-5p","Empty 0",
"hsa-let-7a-5p","Empty 0",
"hsa-miR-132-3p","Empty 0",
"hsa-miR-409-3p","Empty 0",
"hsa-miR-26a-5p","Empty 0",
