"Cluster","Gene"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7B-5P","CPEB1"
"HSA-LET-7B-5P","CTHRC1"
"HSA-MIR-1-3P","HAND2"
"HSA-MIR-1-3P","LASP1"
"HSA-MIR-1-5P","LASP1"
"HSA-MIR-101-3P","CPEB1"
"HSA-MIR-101-3P","MEIS1"
"HSA-MIR-101-3P","ZEB1"
"HSA-MIR-103A-3P","TIMP3"
"HSA-MIR-105-5P","TJP1"
"HSA-MIR-106A-5P","CASP7"
"HSA-MIR-106B-5P","TCEAL1"
"HSA-MIR-106B-5P","FAM129A"
"HSA-MIR-106B-5P","SLC2A4"
"HSA-MIR-106B-5P","KAT2B"
"HSA-MIR-106B-5P","PKD2"
"HSA-MIR-106B-5P","CASP7"
"HSA-MIR-107","CPEB1"
"HSA-MIR-107","NFIA"
"HSA-MIR-107","CHGA"
"HSA-MIR-107","SH3GL2"
"HSA-MIR-10A-5P","CHL1"
"HSA-MIR-10A-5P","BCL6"
"HSA-MIR-10B-5P","TPM1"
"HSA-MIR-10B-5P","NRP2"
"HSA-MIR-10B-5P","ZEB1"
"HSA-MIR-1180-3P","TCEAL1"
"HSA-MIR-1180-5P","TCEAL1"
"HSA-MIR-122-5P","NCAM1"
"HSA-MIR-122-5P","ANK2"
"HSA-MIR-122-5P","ATP1A2"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-1228-3P","MOAP1"
"HSA-MIR-1236-3P","TCEAL1"
"HSA-MIR-1236-3P","ZEB1"
"HSA-MIR-124-3P","AR"
"HSA-MIR-124-3P","GRIA2"
"HSA-MIR-1258","MRGPRF"
"HSA-MIR-125A-3P","IRF4"
"HSA-MIR-125A-3P","XBP1"
"HSA-MIR-125B-1-3P","FRZB"
"HSA-MIR-125B-5P","TBC1D1"
"HSA-MIR-125B-5P","BTG2"
"HSA-MIR-125B-5P","DGAT1"
"HSA-MIR-125B-5P","IKZF2"
"HSA-MIR-125B-5P","IRF4"
"HSA-MIR-125B-5P","APLN"
"HSA-MIR-1260B","SFRP1"
"HSA-MIR-127-3P","MAPK4"
"HSA-MIR-127-3P","SFRP1"
"HSA-MIR-127-3P","XBP1"
"HSA-MIR-127-3P","BCL6"
"HSA-MIR-128-3P","RELN"
"HSA-MIR-1289","ATP4A"
"HSA-MIR-129-2-3P","SOX4"
"HSA-MIR-129-5P","SOX4"
"HSA-MIR-1292-5P","SOX4"
"HSA-MIR-130B-3P","ZEB1"
"HSA-MIR-132-3P","SOX4"
"HSA-MIR-133A-3P","ZEB1"
"HSA-MIR-133A-3P","SOX4"
"HSA-MIR-133A-3P","LASP1"
"HSA-MIR-134-5P","MAGI2"
"HSA-MIR-134-5P","RAB27A"
"HSA-MIR-135A-5P","SLC6A4"
"HSA-MIR-135A-5P","TXNIP"
"HSA-MIR-138-5P","EID1"
"HSA-MIR-138-5P","FERMT2"
"HSA-MIR-138-5P","SOX4"
"HSA-MIR-138-5P","RELN"
"HSA-MIR-140-5P","SOX4"
"HSA-MIR-141-3P","TCF7L1"
"HSA-MIR-141-3P","ZEB1"
