"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",0.25,0.3333333333333333,0.25,0.7142857142857143,0.28571428571428575,"svm",0.5454545454545454,-0.037735849056603904,0.75,13,1,0
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.75,14,2,1
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,19,3,2
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,3
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,4
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,5
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,6
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,7
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,8
"pos",0.5,0.5,0.5,0.7142857142857143,0.5,"svm",0.6363636363636364,0.21428571428571427,0.7857142857142857,20,4,9
"pos",0.5,1,0.5,1,0.6666666666666666,"svm",0.8181818181818182,0.56,0.9285714285714285,8,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,11,2,1
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,2
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,6
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,7
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,8
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857142,12,3,9
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,30,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,1,39,2,1
"pos",1,1,1,1,1,"svm",1,1,1,43,3,2
"pos",1,1,1,1,1,"svm",1,1,1,45,4,3
"pos",1,1,1,1,1,"svm",1,1,1,46,5,4
"pos",1,1,1,1,1,"svm",1,1,1,47,6,5
"pos",1,1,1,1,1,"svm",1,1,1,48,7,6
"pos",1,1,1,1,1,"svm",1,1,1,49,8,7
"pos",1,1,1,1,1,"svm",1,1,1,50,9,8
"pos",1,1,1,1,1,"svm",1,1,1,50,9,9
"pos",1,1,1,1,1,"svm",1,1,1,3,1,0
"pos",1,1,1,1,1,"svm",1,1,1,10,2,1
"pos",1,1,1,1,1,"svm",1,1,1,12,3,2
"pos",1,1,1,1,1,"svm",1,1,1,19,4,3
"pos",1,1,1,1,1,"svm",1,1,1,20,5,4
"pos",1,1,1,1,1,"svm",1,1,1,21,6,5
"pos",1,1,1,1,1,"svm",1,1,1,22,7,6
"pos",1,1,1,1,1,"svm",1,1,1,23,8,7
"pos",1,1,1,1,1,"svm",1,1,1,23,8,8
"pos",1,1,1,1,1,"svm",1,1,1,23,8,9
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857142,8,1,0
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857143,11,2,1
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857143,15,3,2
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857143,16,4,3
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,19,5,4
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,20,6,5
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,25,7,6
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857143,26,8,7
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857143,28,9,8
"pos",0.75,0.75,0.75,0.8571428571428571,0.75,"svm",0.8181818181818182,0.6071428571428573,0.9642857142857143,28,9,9
"pos",1,1,1,1,1,"svm",1,1,1,1,1,0
"pos",1,1,1,1,1,"svm",1,1,1,28,2,1
"pos",1,1,1,1,1,"svm",1,1,1,50,3,2
"pos",1,1,1,1,1,"svm",1,1,1,50,3,3
"pos",1,1,1,1,1,"svm",1,1,1,50,3,4
"pos",1,1,1,1,1,"svm",1,1,1,50,3,5
"pos",1,1,1,1,1,"svm",1,1,1,50,3,6
"pos",1,1,1,1,1,"svm",1,1,1,50,3,7
"pos",1,1,1,1,1,"svm",1,1,1,50,3,8
"pos",1,1,1,1,1,"svm",1,1,1,50,3,9
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,35,1,0
"pos",0.75,1,0.75,1,0.8571428571428571,"svm",0.9090909090909091,0.7924528301886792,0.9642857142857143,37,2,1
