"HSA-LET-7A-5P","HMGA2"
"HSA-LET-7B-5P","CTHRC1"
"HSA-LET-7B-5P","IGF2BP2"
"HSA-LET-7B-5P","TGFBR1"
"HSA-LET-7B-5P","HMGA2"
"HSA-LET-7C-5P","BCL2L1"
"HSA-LET-7C-5P","TGFBR1"
"HSA-LET-7C-5P","HMGA2"
"HSA-LET-7D-5P","HMGA2"
"HSA-LET-7E-5P","HMGA2"
"HSA-LET-7F-5P","KLK6"
"HSA-LET-7F-5P","POSTN"
"HSA-LET-7F-5P","KLK10"
"HSA-LET-7G-5P","BCL2L1"
"HSA-LET-7G-5P","TGFBR1"
"HSA-LET-7G-5P","HMGA2"
"HSA-LET-7I-5P","BMP4"
"HSA-MIR-1-3P","MET"
"HSA-MIR-1-3P","KCNJ2"
"HSA-MIR-1-3P","PNP"
"HSA-MIR-1-5P","MET"
"HSA-MIR-100-5P","FGFR3"
"HSA-MIR-100-5P","MMP13"
"HSA-MIR-101-3P","MET"
"HSA-MIR-101-3P","FOS"
"HSA-MIR-101-3P","CFTR"
"HSA-MIR-101-3P","ITGA3"
"HSA-MIR-101-5P","FOS"
"HSA-MIR-101-5P","TLR2"
"HSA-MIR-103A-3P","SNCG"
"HSA-MIR-105-5P","TLR2"
"HSA-MIR-106A-5P","HMGA2"
"HSA-MIR-106B-5P","FAM129A"
"HSA-MIR-107","SNCG"
"HSA-MIR-107","PLAG1"
"HSA-MIR-107","HMGA2"
"HSA-MIR-10B-5P","NRP2"
"HSA-MIR-10B-5P","KL"
"HSA-MIR-1202","GRM4"
"HSA-MIR-122-5P","BCL2L1"
"HSA-MIR-1226-3P","MUC1"
"HSA-MIR-124-3P","CDH2"
"HSA-MIR-124-3P","ITGB1"
"HSA-MIR-124-3P","EGR1"
"HSA-MIR-1250-3P","NOD1"
"HSA-MIR-125A-5P","CD34"
"HSA-MIR-125A-5P","NTRK3"
"HSA-MIR-125B-1-3P","TACSTD2"
"HSA-MIR-125B-5P","MUC1"
"HSA-MIR-125B-5P","ALOX5"
"HSA-MIR-125B-5P","CYP24A1"
"HSA-MIR-125B-5P","NTRK3"
"HSA-MIR-125B-5P","MMP13"
"HSA-MIR-125B-5P","HMGA2"
"HSA-MIR-1260B","DKK2"
"HSA-MIR-127-3P","MAPK4"
"HSA-MIR-127-3P","MMP13"
"HSA-MIR-128-3P","NTRK3"
"HSA-MIR-128-3P","EPHB1"
"HSA-MIR-128-3P","RET"
"HSA-MIR-128-3P","TGFBR1"
"HSA-MIR-1285-3P","TGM2"
"HSA-MIR-129-5P","RET"
"HSA-MIR-1291","SLC2A1"
"HSA-MIR-1297","HMGA2"
"HSA-MIR-130A-3P","ESR1"
"HSA-MIR-130B-3P","ITGB1"
"HSA-MIR-132-3P","SLC2A1"
"HSA-MIR-133A-3P","BCL2L1"
"HSA-MIR-133A-3P","RBPJ"
"HSA-MIR-133A-3P","PNP"
"HSA-MIR-133B","MET"
"HSA-MIR-133B","BCL2L1"
"HSA-MIR-133B","PITX3"
"HSA-MIR-134-5P","ANGPTL4"
"HSA-MIR-134-5P","ITGB1"
"HSA-MIR-134-5P","RAB27A"
"HSA-MIR-135A-5P","HTR1A"
"HSA-MIR-135B-5P","TGFBR1"
"HSA-MIR-137","MET"
"HSA-MIR-137","RASGRF1"
"HSA-MIR-138-5P","LCN2"
"HSA-MIR-139-5P","MET"
"HSA-MIR-139-5P","FOS"
"HSA-MIR-139-5P","JUN"
"HSA-MIR-140-3P","COL4A1"
"HSA-MIR-140-3P","NRIP1"
"HSA-MIR-140-5P","TGFBR1"
"HSA-MIR-141-3P","YWHAG"
"HSA-MIR-142-3P","ARNTL"
"HSA-MIR-142-3P","TGFBR1"
"HSA-MIR-142-5P","CLDN1"
"HSA-MIR-143-3P","ITGB1"
"HSA-MIR-143-3P","MMP13"
"HSA-MIR-143-3P","TLR2"
"HSA-MIR-144-3P","MET"
