"ClassLables","Recall","Precision","Sensitivity","Specifity","F-measure","learner","Accuracy","Cohen's kappa","Area Under Curve","#Genes","#Clusters","Iteration"
"pos",1,1,1,1,1,"svm",1,1,1,88,1,0
"pos",1,1,1,1,1,"svm",1,1,1,190,2,1
"pos",1,1,1,1,1,"svm",1,1,1,240,3,2
"pos",1,1,1,1,1,"svm",1,1,1,248,4,3
"pos",1,1,1,1,1,"svm",1,1,1,251,5,4
"pos",1,1,1,1,1,"svm",1,1,1,254,6,5
"pos",1,1,1,1,1,"svm",1,1,1,257,7,6
"pos",1,1,1,1,1,"svm",1,1,1,262,8,7
"pos",1,1,1,1,1,"svm",1,1,1,275,9,8
"pos",1,1,1,1,1,"svm",1,1,1,277,10,9
"pos",1,1,1,1,1,"svm",1,1,1,53,1,0
"pos",1,1,1,1,1,"svm",1,1,1,142,2,1
"pos",1,1,1,1,1,"svm",1,1,1,144,3,2
"pos",1,1,1,1,1,"svm",1,1,1,165,4,3
"pos",1,1,1,1,1,"svm",1,1,1,169,5,4
"pos",1,1,1,1,1,"svm",1,1,1,172,6,5
"pos",1,1,1,1,1,"svm",1,1,1,172,6,6
"pos",1,1,1,1,1,"svm",1,1,1,172,6,7
"pos",1,1,1,1,1,"svm",1,1,1,172,6,8
"pos",1,1,1,1,1,"svm",1,1,1,172,6,9
"pos",1,1,1,1,1,"svm",1,1,1,36,1,0
"pos",0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,"svm",0.8888888888888888,0.7499999999999999,0.9861111111111112,47,2,1
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,0.9930555555555555,56,3,2
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,153,4,3
"pos",1,1,1,1,1,"svm",1,1,1,287,5,4
"pos",1,1,1,1,1,"svm",1,1,1,352,6,5
"pos",1,1,1,1,1,"svm",1,1,1,396,7,6
"pos",1,1,1,1,1,"svm",1,1,1,401,8,7
"pos",1,1,1,1,1,"svm",1,1,1,424,9,8
"pos",1,1,1,1,1,"svm",1,1,1,426,10,9
"pos",1,0.6666666666666666,1,0.75,0.8,"svm",0.8333333333333334,0.6666666666666667,0.986111111111111,23,1,0
"pos",1,1,1,1,1,"svm",1,1,1,193,2,1
"pos",1,1,1,1,1,"svm",1,1,1,216,3,2
"pos",1,1,1,1,1,"svm",1,1,1,237,4,3
"pos",1,1,1,1,1,"svm",1,1,1,244,5,4
"pos",1,1,1,1,1,"svm",1,1,1,246,6,5
"pos",1,1,1,1,1,"svm",1,1,1,261,7,6
"pos",1,1,1,1,1,"svm",1,1,1,349,8,7
"pos",1,1,1,1,1,"svm",1,1,1,370,9,8
"pos",1,1,1,1,1,"svm",1,1,1,374,10,9
"pos",1,1,1,1,1,"svm",1,1,1,102,1,0
"pos",1,1,1,1,1,"svm",1,1,1,112,2,1
"pos",1,1,1,1,1,"svm",1,1,1,116,3,2
"pos",1,1,1,1,1,"svm",1,1,1,121,4,3
"pos",1,1,1,1,1,"svm",1,1,1,172,5,4
"pos",1,1,1,1,1,"svm",1,1,1,217,6,5
"pos",1,1,1,1,1,"svm",1,1,1,221,7,6
"pos",1,1,1,1,1,"svm",1,1,1,224,8,7
"pos",1,1,1,1,1,"svm",1,1,1,244,9,8
"pos",1,1,1,1,1,"svm",1,1,1,250,10,9
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,50,1,0
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,58,2,1
"pos",1,1,1,1,1,"svm",1,1,1,64,3,2
"pos",1,1,1,1,1,"svm",1,1,1,72,4,3
"pos",1,1,1,1,1,"svm",1,1,1,157,5,4
"pos",1,1,1,1,1,"svm",1,1,1,161,6,5
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,212,7,6
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,218,8,7
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,227,9,8
"pos",1,1,1,1,1,"svm",1,1,1,238,10,9
"pos",1,1,1,1,1,"svm",1,1,1,35,1,0
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,180,2,1
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,185,3,2
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,188,4,3
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,204,5,4
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,221,6,5
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,257,7,6
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,261,8,7
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,269,9,8
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,281,10,9
"pos",1,1,1,1,1,"svm",1,1,1,3,1,0
"pos",1,1,1,1,1,"svm",1,1,1,89,2,1
"pos",1,1,1,1,1,"svm",1,1,0.9999999999999999,97,3,2
"pos",1,1,1,1,1,"svm",1,1,1,110,4,3
"pos",1,1,1,1,1,"svm",1,1,1,120,5,4
"pos",1,1,1,1,1,"svm",1,1,1,124,6,5
"pos",1,1,1,1,1,"svm",1,1,1,132,7,6
"pos",1,1,1,1,1,"svm",1,1,1,132,7,7
"pos",1,1,1,1,1,"svm",1,1,1,132,7,8
"pos",1,1,1,1,1,"svm",1,1,1,132,7,9
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,11,1,0
"pos",1,1,1,1,1,"svm",1,1,1,66,2,1
"pos",1,1,1,1,1,"svm",1,1,1,87,3,2
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,152,4,3
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,163,5,4
"pos",1,1,1,1,1,"svm",1,1,1,193,6,5
"pos",1,1,1,1,1,"svm",1,1,1,200,7,6
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,203,8,7
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,203,8,8
"pos",0.8333333333333334,1,0.8333333333333334,1,0.9090909090909091,"svm",0.9444444444444444,0.8695652173913043,1,203,8,9
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,108,1,0
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,132,2,1
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,172,3,2
"pos",1,0.8571428571428571,1,0.9166666666666666,0.923076923076923,"svm",0.9444444444444444,0.88,1,255,4,3
