"Cluster","Gene"
"HSA-LET-7A-5P","CASP3"
"HSA-LET-7A-5P","TGFBR3"
"HSA-LET-7A-5P","PRDM1"
"HSA-LET-7B-3P","CASP3"
"HSA-LET-7B-5P","CCNA2"
"HSA-LET-7B-5P","COL3A1"
"HSA-LET-7B-5P","PRDM1"
"HSA-LET-7C-5P","CASP3"
"HSA-LET-7D-5P","COL3A1"
"HSA-LET-7E-5P","IGF1"
"HSA-LET-7F-5P","PRDM1"
"HSA-LET-7F-5P","SOCS3"
"HSA-LET-7G-5P","CASP3"
"HSA-LET-7G-5P","CDKN2A"
"HSA-LET-7G-5P","THBS1"
"HSA-LET-7I-5P","IGF1"
"HSA-MIR-1-3P","HAND2"
"HSA-MIR-1-3P","IGF1"
"HSA-MIR-1-3P","SRF"
"HSA-MIR-1-3P","CXCL12"
"HSA-MIR-1-3P","SLC8A1"
"HSA-MIR-1-3P","MYOCD"
"HSA-MIR-1-5P","CXCL12"
"HSA-MIR-100-5P","CYR61"
"HSA-MIR-100-5P","FLT1"
"HSA-MIR-101-3P","PTGER4"
"HSA-MIR-101-3P","DUSP1"
"HSA-MIR-101-3P","SRF"
"HSA-MIR-101-3P","FOS"
"HSA-MIR-101-3P","ZEB1"
"HSA-MIR-101-3P","PRDM1"
"HSA-MIR-101-3P","MITF"
"HSA-MIR-101-5P","FOS"
"HSA-MIR-103A-3P","TIMP3"
"HSA-MIR-103A-3P","SFRP4"
"HSA-MIR-103A-3P","CAV1"
"HSA-MIR-103A-3P","BNIP3"
"HSA-MIR-103A-3P","KLF4"
"HSA-MIR-103A-3P","CACNA1C"
"HSA-MIR-103A-3P","CCNE1"
"HSA-MIR-106A-5P","TGFBR2"
"HSA-MIR-106B-5P","TCEAL1"
"HSA-MIR-106B-5P","SLC2A4"
"HSA-MIR-106B-5P","PKD2"
"HSA-MIR-107","CAV1"
"HSA-MIR-107","KLF4"
"HSA-MIR-10A-5P","SERPINE1"
"HSA-MIR-10B-3P","CCNA2"
"HSA-MIR-10B-5P","MBNL2"
"HSA-MIR-10B-5P","RSRC1"
"HSA-MIR-10B-5P","TPM1"
"HSA-MIR-10B-5P","NR4A3"
"HSA-MIR-10B-5P","ZEB1"
"HSA-MIR-10B-5P","KLF4"
"HSA-MIR-10B-5P","CDKN2A"
"HSA-MIR-10B-5P","MBNL1"
"HSA-MIR-1180-3P","TCEAL1"
"HSA-MIR-1180-5P","TCEAL1"
"HSA-MIR-1182","TERT"
"HSA-MIR-1207-5P","TERT"
"HSA-MIR-122-5P","NCAM1"
"HSA-MIR-122-5P","SRF"
"HSA-MIR-122-5P","AKT3"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-122-5P","ADAM17"
"HSA-MIR-1236-3P","KDR"
"HSA-MIR-1236-3P","TCEAL1"
"HSA-MIR-1236-3P","ZEB1"
"HSA-MIR-124-3P","DNMT3B"
"HSA-MIR-124-3P","CAV1"
"HSA-MIR-124-3P","CTGF"
"HSA-MIR-124-3P","GRIA3"
"HSA-MIR-124-3P","EGR1"
"HSA-MIR-124-5P","NR4A1"
"HSA-MIR-1256","SELE"
"HSA-MIR-1258","MRGPRF"
"HSA-MIR-125A-3P","PRDM1"
"HSA-MIR-125A-5P","CD34"
"HSA-MIR-125A-5P","NTRK3"
"HSA-MIR-125A-5P","LIFR"
"HSA-MIR-125B-1-3P","S1PR1"
"HSA-MIR-125B-5P","TBC1D1"
"HSA-MIR-125B-5P","GRIN2A"
"HSA-MIR-125B-5P","GLI1"
"HSA-MIR-125B-5P","STARD13"
"HSA-MIR-125B-5P","PRDM1"
"HSA-MIR-125B-5P","SFRP5"
"HSA-MIR-125B-5P","NTRK3"
"HSA-MIR-125B-5P","ENPEP"
"HSA-MIR-125B-5P","CDKN2A"
"HSA-MIR-125B-5P","EPO"
"HSA-MIR-125B-5P","LIFR"
"HSA-MIR-126-3P","PITPNC1"
"HSA-MIR-126-3P","CXCL12"
"HSA-MIR-126-3P","TEK"
"HSA-MIR-126-5P","CXCL12"
"HSA-MIR-1260B","SFRP1"
